text,label
Arbejde med væsentlige samfundsspørgsmål og bruge sin faglighed på at finde gode løsninger på svære problemstillinger. Det giver mening til arbejdet som embedsmand. Læs s klumme i #dkpol,neutral
Den undersøgelse du nævner er en del mængde af den store samlede med mange flere parametre.,neutral
"#ElskDenDuVil
@USER #fckob
Gi’ homofobien 🏳️‍🌈 det røde kort! Vis din støtte til et mangfoldigt og lige Danmark. 💚 #respekt #tolerance #anstændighed #forskellighed #LGBTdanmark #dkmedier",positive
"Det offentlige lægger ikke ud (ever), men er der tale om børnebidrag, indkræver kommunen pengene løbende hos den forælder der skal betale og udbetaler beløbet til modtager-forælderen. Kender ikke til andre tilfælde hvor det offentlige betaler ubetalte skyldige beløb. Fogedretten!",negative
"Og jo. Det er da ekstremt grænseoverskridende. Særligt fordi det, han siger, er dybt injurierende.",negative
"Så er jeg hoppet på GoT, første par afsnit set - det ser lovende ud",positive
"Det er simpelthen sådan cirka en hel måned hvert år, gymnasieeleverne ikke dukker op til undervisningen. #dkpol #dkmedier 

[LINK]",negative
Ergo så fortsættes planerne jo bare i hvert parti. Så hvor meget forskel er der egentlig på den aktuelle politik? Ja der er flere sygehuse under Venstre der er blevet lukket. Men planerne er jo bare kørt videre? Endnu en grund til at vende Borgen ryggen.,negative
"En forbipasserende havde opdaget, at der stod en bil og brændte.",neutral
"Præcis, den med englændere på ferie er også genial ....",positive
"Uheld på Københavnsvej i Vordingborg gav lange køer mandag eftermiddag. 
#fuh #uheld #ulykke #vordingborg #politidk #nyheder",negative
"Man kan jo godt forstå at de ikke vil indrømme hvilke slags mennesker de er, det må da være flovt.",negative
"At de radikale er med , det siger det hele .
Så er man klar over, at det absolut ikke gavner de mest nedslidte.
Ikke engang en tilbagegang på 21 mandater , kan få jer til at levere et ordentligt stykke arbejde.
Men det får i snart 4 år at tænke over i !.",negative
"“Min første tanke var, at man da ikke bare melder børn ud af grundskolen, tager små børn ud af daginstitutionen og tvinger en far til at sige sit job op, uden at nogen instans tager hånd om dem efterfølgende i rets- og velfærdsstaten Danmark. Men det gjorde man”#paradigmeskift",negative
"Biblioteker er også blevet kulturcentre og centre for at formidle innovation. Virkeliggjort folkeoplysning på alle måder. Hvis der skal ske noget med dem, så skal det blot være endnu mere fart på i samme retning!",positive
"2 lidt for friske drenge på hhv 14 og 15 år tilbageholdt efter at have foretaget en ulovlig indsamling i Vemmelev. Med hjemmelavede ""Røde Kors"" indsamlingsbøtter lykkedes det at indsamle næsten 100 kr. Det koster nu den ældste en sigtelse for bedrageri. Pengene er retur #politidk",negative
"Sagen om DBU's valg af Copenhagen Sundays som EM-værter bliver mere og mere interessant. Nu har Ekstra Bladet også kastet sig over den. Holder I stadig fast i, at de to er de rigtige til at ""samle danskerne om EM 2020"" / #sldk",negative
"Jeg er stolt over alle de danskere jeg kender, som aktivt yder regeringen modstand og insisterer på værdier som tolerance, åbenhed, sammenhold og frihed.

Der er ikke noget i det politiske system jeg er stolt over.",neutral
"""Det var en skandale, at han sparkede på mål. Det giver jeg absolut intet for, og det var på ingen måde i orden"" - Her nedlægger han jo en præmis, som han han reelt set ikke ved noget om. Det er da mangel på format.",negative
"Det passer ikke helt Lars, selvom man godt kunne få mistanken. Jeg lavede en lille undersøgelse igår. Kun 26% af tweets fra Venstres feed, handler om hva andre vil og gør. Det er den store lyseblå nede i højre hjørne af kagen!",negative
"Kan flyve med god samvittighed, når forskning i bæredygtig olie - baseret på organisk affald og plastik, og som raffineret kan hældes direkte i eksisterende flymotorer - bliver skaleret op. #dkforsk #dkbiz #SDG10 #SDG7",positive
"Så nu har jeg købt et regnbueflag, som kommer med på Sydsiden på søndag!😁 🌈. Og hvis nogen har et handicap-flag, kvindeflag, jydeflag eller andet relevant, så tager jeg også gerne det med. Jeg hader næsten ingen, så længe de er Brøndbyfans! #brøndby #nejtilhomofobi",positive
"🤾‍♀️ Der er i dag 2 #håndbold kampe/events, der vises direkte:

📺 2 på TV
#TV #dksport #dkbold #hndbld

🔗",neutral
Forandringer kan også være af det onde. Læg mere vægt på det sociale end det liberale. Det er der behov for i en situation med stadig større ulighed #dkpol,negative
"Seneste nyt fra Danmark og Verden #nyheder: Danskere tilbragte påsken online i sommerhuset Mange forbinder formentlig sommerhus med gåture, brætspil og gode bøger, men noget tyder på, at danskere er lige så meget online i sommerhuset som derhjemme.
En an…",neutral
"Ved ikke om det ligefrem lyder som et overfald. Dem fra XR jeg snakkede med i dag talte i øvrigt dansk og understregede netop, at de er ikke-voldelige. Og det er da også sådan, det skal være.",positive
Den anden kandidat jeg overvejede at stemme på er også i Østjylland ... hele det der kredssystem var måske smart nok dengang valgkamp var noget der forgik fra ladet af en lastbil og i små forsamlingshuset ... med internettets komme er det sku lid fjollet.,negative
Det her er alligevel et ret vildt citat fra Henrik Dahl i @USER. #dkpol,neutral
Jeg har besøgt Schweiz og de er dårligere til at indkøbe medicin og de fattigste kantoner har svært ved at levere god behandling og forsikringsselskaber sætter prisen op. Der er andre ting vi kan lære af Schweiz.,neutral
Varmens dag fik mange til at forlade den lune søndagsstue (Dette er en plus-artikel),positive
Det gør jeg altid.,neutral
Det er hovedsagligt amerikanere af anden europæiske herkomst jo 🙄,neutral
"Det må da være en joke? Jeg kan ikke tro, at nogen er så naive. SEO for 194 kr 😂",positive
"TEAM NEWS 🗒️ Startopstillingen til dagens kamp mod er kommet. Og der er genvalg til stort set samtlige mand fra sidste kamp mod Randers FC.
Go' kamp! 💪⚽️ #sldk #venaab",positive
Debat: Derfor giver vi hånd,neutral
"Hvordan kan man overhovedet stille det spørgsmål?!? Det burde i et demokrati være en selvfølge: man lader klovnen udtale sit vrøvl, og så sørger man for at bure alle anti-demokratiske voldspsykopater inde … Gud jøsses #dkpol #dktro #dkmedier #SelvIdioterHarYtringsfrihed",negative
Ja men de har skrevet under på FN's for det er en forudsætning for at kunne blive medlem af FN.,neutral
"Seneste topnyhed på : #nyheder Hård rock og hæder: Da Dronningen kom til Rungstedlund Intet er som det plejer, når Lars Von Trier er involveret.",neutral
"Et fx det at sætte et skjold op for at undgå DDoS-angreb det samme som at ""filtrere informationsstrømmen""? Og samme spørgsmål til dig: Mener du, at man hellere bør lukke øjnene og lade hackere hacke valget i fred?",negative
"Har lige læst, at det er nær umuligt at slukke branden i Notre Dame. Det er ikke til at bære. Jeg beder om et mirakel🙏. #notredameonfire #notredame",negative
Broncos har hele tiden været den største favorit til at drafte Lock og det er et perfekt sted at lande for ham - bortset fra at han nu skal spille mod Chiefs to gange om året.,positive
Man har vel lov at håbe.,negative
I de seneste år er de private virksomheders overskud vokset markant. Det er dog mest af alt kommet de få rige til gode. Flertallet af befolkning har adgang til en stadig mindre del af velstanden. Fra 1990 er uligheden steget med 32%. 1/4,negative
"Forligspartierne er åbenbart forvirrede over de optagelsesregler, de selv har aftalt. Hensigten var ellers klar nok - færre skulle have adgang til gymnasiet, og det bliver også resultatet #dpol #uddannelse",negative
"Hvis du skulle lave et mixtape kun bestående af én kunstners bagkatalog, hvem ville du så vælge? Og hvilke numre skulle det være?

Ideen er fed. Her er det norske Prins Thomas, der laver et meget værdigt og lyttevenligt hyldestmix af Shinichi Atobes musik",positive
"Der findes ikke ret meget der er lige så smukt og magifyldt, som solen der skinner gennem træerne på en lun forårsdag ❤️ Det sku da lige være Hjalmer 😄 @…",positive
Finanstilsynet lige nu om innovation gennem regulering på Finans &amp; Leasings minikonference om PSD2 i forbindelse med kreditvurderinger #dkfinans #psd2 #dkbiz,neutral
"Af alle supermarkedskøbekager, så har citronmånen altid været min favorit.
Den er det sån set stadig. 
Som indvandrer kan jeg dog ik længere spise den uden jeg tænker på ét særligt parti. Men jeg spiser den alligevel med velbehag. 
For jeg tager det sure med det søde😆
#DF #dkpol",positive
Jeg synes stadig at pandaerne skulle have heddet Fiat og Peter,neutral
"Kom fra at svare dig, kommer her. Det er en stærk aftale, fordi den giver alle nedslidte tidlig pension, og hvis der er flere, end regeringen tror, så får de stadig retten👍🏼",positive
"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",positive
"Jeg tror ikke, folk er racister, fordi de ansætter en au pair eller ønsker anden form for billig hushjælp. Jeg tror, de har en økonomisk interesse i billig arbejdskraft. Klart nok. Det er bare ikke en interesse, jeg ønsker at hjælpe dem med at forfølge.",neutral
"Hvis du har 5 DBs på banen, skal dine LBs stadig gøre rigtigt meget i kastespillet, da NFL-angrebene strækker på alle leder og kanter, og TEs og RBs er super atletiske. Nickel har været det nye base i flere år, og dårlige LBs i opdækningen har kostet dyrt de sidste par år",neutral
Det er fremragende! 😁,positive
"Skal du med ud og samle affald på søndag? ♻️🥫🚬
Der er mere end tusind lokale indsamlinger tilmeldt den store affaldsindsamling på søndag. Find en indsamling nær dig og blive affaldshelt for en dag 👉 #dkgreen #TrashTag #affaldsindsamlingen",positive
"Nej, det er det ikke, men den førte udlændingepolitik er gak-gak og netop grunden til tilslutningen. Vi har fået nok af indvandrere, som udvander vor velfærd og tryghed. Try walking in our shoes for once!",negative
"Du er ikke alene. Jeg er også blokeret af B Olsen, fordi jeg på et tidspunkt har kritiseret ham og synspunkterne i @USER
 En skændsel for #dkpol, når #politikerne ikke vil høre #vælgernes #kritik. Der er snart #Valg2019. #Hurra",negative
Mig heller ikke. Al magt til velfærds argumentet om den enkle fries lykkelige. Lad os i samlet flokkes kor nedlægge denne fucking irriterende natur planeten dyrene og træerne og insekterne der æder vores korn eller er det de vilde fugle. Lad os slaa disse fucking fugle ihjel.,negative
"RO? Vores unges psykiske mistrivsel stiger! En national strategi mod psykisk mistrivsel bør have fokus på de langsigtede konsekvenser af at fysisk samvær er erstattet af memes og emojis på Snapchat. 

#Børneneførst #dkpol 

[LINK]",negative
Hvordan implementerer man bevægelse i skolen? Det havde fra gode bud på i sit oplæg på og netværksdag forleden. Hør fx pointen om Parathedsskamlen i videoen herunder. #skolechat #idrætspol #uddpol,positive
"Også i Sverige laver den ene hånd initiativer med store CO2-emissioner til følge, mens den anden hånd laver lappeløsninger for at reducere emissionerne. #swgreen #dkgreen",negative
Holstebroer vandt to millioner kroner på kupon til en flad ti'er,positive
"Valgår. Hvor vores ledere gør sig endnu mere umage med at misforstå, angribe og lægge fælder for hinanden end normalt, hvor de retoriske kvælertag strammes og hvor det virkelige problem - en nedsmeltet offentlig sektor - derfor er længere væk fra en løsning end nogensinde før.",negative
"Hvor er det vildt, at det kan lade sig gøre! Nul skat er ikke ok, Amazon (og alle jer andre). Ikke et firma-mindset, jeg bryder mig om. #Amazon #ComingSoontoDK",negative
Du ved godt det er længe siden det blev meldt ud at resultatet ikke er lig med det som var hensigten. Derfor kan der laves meget om.,neutral
"Helt enig! Jeg ser samme glæde og engagement hos mine børn, når de spiller, som jeg selv oplevede i deres alder og det er jo ikke forbudt stadig at engagere sig som voksen. Spil med! 😊🕹",positive
Forelskede Conte: Bliver Roma-træner en dag #serieadk #roma,positive
"Jeg melder mig gerne på banen. Hjemme hos os spiller vi en del computer og konsoller, både mine børn og jeg. Det er berigende og lærerigt, og så var det også god skeletræning, da han havde brug for det. Det gik langt hurtigere end forventet, og lægen mente det skyldtes spil",positive
"I Skive kan man forvandle søstjerner til dyrefoder, og dermed går en god forretning hånd i hånd med en klimaindsats ⭐️💛 Nysgerrig? Læs mere her: #dkgreen #landbrug #dkbiz",positive
"En så stærk narcissisme og trang til opmærksomhed på bekostning af sine medmennesker, er bare en fortabt stakkel, der spiller med på den aktuelle splittelses-diskurs i dansk politik.. :-( #dkpol",negative
Læser det rigtigt. Pointen er at hold kan overpræstere 1-2 sæsoner. Men ikke over tid. Helsingør ligger i dag hvor de skal økonomisk set,neutral
"Hej Rasmus. Håber du vil læse vores historier igen inden vores interview senere i dag. Vi skelner meget klart mellem undersøgelseskomitéen og bestyrelsen og skriver, at sidstnævnte afviste konklusionerne om lovbrud",neutral
"2020 TV2 der vinder han igen, så har i masser af tid til overskrifter, ja i kunne jo også prøve med journalistik for Real #dkmedier",negative
"Rådgiver bekræfter at have spillet en rolle Falck-sagen: ""Der blev handlet for meget med følelserne frem for fornuften""",neutral
"NATUREN ER TØR 🚒👨‍🚒
- og derfor er det vigtigt at tænke sig godt om, når vi hygger os udenfor i det gode påskevejr🐣 En af vores vagthavende indsatsledere🚒👨‍🚒 giver gode råd i indslaget fra TV2 Nord 
#NaturenErTør #ViPasserPåJer #NordjyllandsBeredskab",positive
"Iværksætteri og nytænkning er fremtiden. 🤝 Derfor har .@USER og .@USER produceret disse dybdegående videoer, der skildrer erhvervets gode som dårlige sider: Vi skal nemlig sikre fremgangen, også i det langsigtede perspektiv! #dkpol #dkmedier",positive
Samtlige af mine stemmer går til Live. Kæft en vild stemme🤘🏻#xfactordk,positive
"Jeg er 100% sikker på, at enhver fagforening/ethvert fagforbund sagtens - og uden problemer - kan varetage sine interesser. Men det ville være meget ubegavet at kaste penge efter LA, som kun tramper på 'almindelige', ualmindelige danskere.",negative
"Journalister er aldrig kommet over det faktum, at befolkningen kommunikere direkte med beslutningstagerne og at nyheder ikke bliver manipuleret af journalisterne.",negative
"Alvorligt uheld mellem personbil og lastbil i Ringsted lørdag eftermiddag. 
#fuh #uheld #ulykke #lastbil #ringsted #politidk #nyheder",negative
"Flere og flere børn frygter at komme i skole. Og det er ikke så mærkeligt, skriver @USER. Med målinger, effektiviseringer og nedskæringer er folkeskolen blevet en forlængelse af markedets krav om succes, og det gør vores børn syge og bange #dkpol
[LINK]",negative
Du hører vist kun det du vil. Der har da været masser af fordømmelse af voldsmændende.,negative
GULD til Danmark🇩🇰🏆 #gulddrengene💪 Tillykke🇩🇰🇩🇰👏👏 Sjældent har der været så mange mennesker på Rådhuspladsen🤩,positive
"Du er så patetisk Elbæk 
Det var jer der gjorde det til en gøglerpost, ved at spilde skatteborgernes penge på en kæmpe gokkesok, lyve om CV og give penge til vennerne.
Velkommen til en ny politisk kultur.
Og nu er jeg måske også fascist som dem der er uenige med dig;)",negative
"1 gang om ugen. Måske lidt mere i starten. Og længere nede ad vejen ved man aldrig, hvad der sker. Måske flere præcise spor om træningstimen, vægttab, ernæring og velvære",neutral
"Det vil sige, at ud af de 17 største pensionsselskaber har PFA, PKA, MP Pension, Pensam, TopDanmark og ATP ingen penge i de store canadiske tjæresandsselskaber #dkgreen",neutral
Nu skal vi have det valg. illiberale holdninger spreder sig langt ind på ministergangene og det er hverken demokratisk eller kønt. #nyregeringnu,negative
Er du i nærheden af Østerbro mandag aften? Så kom forbi til en åben talk om techtrends med undertegnede og ⁦@USER⁩ Håber vi ses! #tankeromtech,positive
"🇩🇰 #GoCards 🇩🇰

Det vrimler med fans fra nærmest alle NFL-hold i Nashville. De mest fantastiske mennesker, vi har mødt, er Lisa og hendes mand Rick (på billedet👇). Rick har kun misset ÉN (!!!) hjemmekamp siden 1988, hvor Cardinals kom til Arizona 👏🏈 #nfldk #truefans #NFLDraft",positive
RT @USER: Og husk så Far og Mor - det var nazisme det handlede om. Íkke tyskere! #dkpol,negative
Hele vores flygtningesystem fra efter anden verdenskrig fungerer stadig. Vi har i FN netop opdateret i 2018 vedtaget migrationspagt. (Tak #talop) #epvalg19 #eudk #ep19dk #dkpol,neutral
"Konsekvensen ligger i, at ytringsfriheden altid bliver beskyttet, hvis der er brug for det. Dem der råber bøsse efter en fodboldspiller, har ikke brug for beskyttelse",neutral
Og det er blandt andet derfor det er en skøn artikel 😉,positive
"Fred være med det(høhøh). Men faktum er, at Fred har bevist væsenligt mere både i CL og PL end McFlurry, der stadig i mange situationer ligner en stiv teenager på kokain. :)",neutral
"Ikke en krone i udsigt: Danmark op i #5G eliten - men i ny handlingsplan fra er der ikke afsat penge til fremme af nye løsninger. Det er problematisk, siger digitaliseringspolitisk chef i #digidk #dkbiz",negative
"Seneste topnyhed på : #nyheder Sundhedsreform på plads: Nye sundhedshuse, flere læger og sygeplejersker Danskerne skal opleve bedre sammenhæng, mere nærhed og større tryghed, når de behandlet i sundhedsvæsnet.",positive
"Der har været flere videoer, hvor man kunne høre, at der blev sunget “Viktor Fischer er homo”. 

Denne video for pokalsemifinalen er det Jeppe Højbjerg, der står for skud:
[LINK]",negative
Det med stillesiddende aktiviteter og manglende fysisk udfoldelse handler vel mere om skærmtid generelt. Forbindelsen til Fortnite er bare at det er et spil som børn kan spille rigtig længe.,neutral
Mit bud er at vi først får noget ordentligt og brugbart at stemme på - uanset om vi er blå eller røde - når DF mister deres indflydelse på den politik der bliver ført i #dkpol.,negative
Fredericia-helt om 2-1: Ekstremt vigtig sejr #1div #FCFredericia,positive
"Tror det er ham der er lidt følelseskold. Lad ham være pædagog en uge, så kan vi tage en recap.",negative
Jeg er på vej!,neutral
Tænk du går så meget op i at støtte løgne men det siger jo mere om dig end lærerne og eleverne.,negative
"Troels Lund siger helt korrekt lige nu i at udenlandske firmaer spekulerer i ikke at registrere sig når de udfører arbejde i Danmark. Men han glemmer, at resultat af at denne regering har sparet massivt på indsatsen mod social dumping og på Arbejdstilsynet. #dkpol",negative
"Fascismen er i voldsom fremmarch igen i Tyskland. Snart skal Nazismen i nye mørke klæder med Allah og Muhammed i ryggen, igen forsøge sig med et 3 rige. Venstrefløjene i Europa har intet lært af historien. #dkpol #dkmedier",negative
"Jeg elsker at se hvordan LA bruger den taxalovgivning, de selv har implementeret til at argumentere til fordel for Uber. 
I takt med at Konservative har tabt pusten, er det sgu dejligt at hvordan godsejermetaliteten stadig trives.",positive
"Hvor er det forfærdeligt at se det smukke Notre-Dame i flammer. Hvor er jeg glad for, at jeg nåede at besøge det smukke sted.",negative
"Min nevø er pænt god til at løbe ...
(det er IKKE en familie-ting)",neutral
"Overblik: Her er seks radikale krav til Mette Frederiksen, før hun kan blive statsminister Både på udlændingeområdet, klima og økonomi har Morten Østergaard stillet krav til, hvad S-formanden skal gøre, før hun kan blive statsminister med hans støtte.",neutral
"Kan man godt være ansat i en stor stilling i en højprofileret klub og samtidig være aktiv på Twitter. Mike Phelan kan. He owns Twitter #pldk

[LINK]",neutral
Liberalisme til salg!?#dkpol #ligevilkårforalle Nikolaj Saadat: DF høster politiske sejre på liberal magtesløshed,negative
"Ny udstilling i Aalborg Zoo: - Det skal gerne skræmme børnene Aalborg Zoo åbnede i weekenden op for en udstilling med dinosaurer. Det skal fascinere og skræmme, men Sophus på fem år er en hård negl.",positive
