text,label
"I påsken er jeg på sidelinien her…
Tors #fckfcm
Fre #obfcn
Søn ViborgFF vs Næstved
Søn #vbagf
Man #rfcaab
Man #fcmbif
#sldk #NordicBetLigaen",neutral
At der skal være plads til udemokratiske religiøse nazister foran landets parlament siger alt om den seneste generation af landsforræderiske politikere #dkpol #TagDanmarkTilbage #islam,negative
"kommer til at hjælpe med at strømline og eksekvere Strategi 6.4. Og selvfølgelig skal vores presspil nuanceres og udvikles, men det kommer den nye træner til at stå for. Tror ikke vi kommer til at være så ultimative i presset, som under AZ, men mindre er også ok.",neutral
"At Venstre fotoshopper deres politik ved alle, men hvorfor også billederne af deres politikere? Er der intet ægte i det parti",negative
"#Asfaltaftalen får skarp kritik: 
""Den skal være meget mere grøn. Regeringen og Dansk Folkeparti vækker frustration i rød blok, hvor glæder sig til at rulle aftalen tilbage efter et valg med muligt rødt flertal.""
Citat: Berlingske kun for abonnenter
#dkpol #dkmedier",negative
"Sidder på Skt. Knuds gymnasium og overværer retorik-undervisning, der sidder en hel klasse, som ikke har lyst til at deltage i debatten på sociale medier, for “kampen er tabt på forhånd” “det er svært at være saglig, når andre ikke er”. “vi deltager kun i debatter for at få ret”",negative
"Netop min tanke. Kan det være en slags happening, der skal skabe opmærksomhed om misinformation på nettet før valgene?",neutral
Eller fordi det er godt at se hvor dårligt livet var før i tiden. De gode gamle dage findes ikke,negative
Udsigt til nye besparelser i kommunens budget,neutral
Tilskuer-boom i Superligaen: FCK spurter frem #brøndby #fcklive #agf #fcm #aab,positive
"Legekæden: Hvis ikke folk bruger os, så kan det være os, der må lukke næste gang (Dette er en plus-artikel)",negative
"Tersløse Kirke er blevet Vejkirke Tersløse Kirke er blevet en såkaldt Vejkirke. Det indebærer, at kirken året rundt kan besøges af turister og alle interesserede på følgende dage: Tirsdag-onsdag-torsdag kl. 8-15.",neutral
"Den foreløbige tidshorisont er, at ændringerne gælder til og med fredag d. 26/4.

Rejseplanen opdateres med ændringerne i løbet af onsdag formiddag.",neutral
"Begivenhedsrig første halvleg på både godt og ondt. Fodens scoring må varme enhver enhver Cityfans hjerte. Desværre måtte KdB humpe ud af banen med noget der ligner en forstrækning. 
#ManCitySpurs #pldk",positive
"Men det er jo problematisk, uansett om det er billedlig ment - det virker jo unektelig som barnet ikke har det så bra?
“She can see carbon dioxide with the naked eye. She sees how it flows out of chimneys and changes the atmosphere in a landfill.”",negative
"Det er overordnet en konjunkturer effekt, men hvor grupper med lav besk. oplever de største stigninger i beskæftigelsesgraden - så ja, de bidrog også, men de er ikke så mange at de kan flytte den aggregerede kurve så meget",neutral
