label,New,org_or_new
neutral," Første udfordring for den lufthavnsreporter der opholder sig på det nye Istanbul Lufthavn: Jeg har ikke eksistens. 
Hopper at jeg snart kan give en opdatering om, hvordan historien udvikler sig.",0
negative,"Æh, de sjældne familier, der ofte tager sig selv for given og koncentrerer sig om andre. Hvorfor er det ikke hende fra TV2?",0
negative,"Ønsker man at dele dette patientmateriale, burde der ske store refleksioner omkring emnet. I min mening er det udmærket dårligt at henvise patienter med kroniske smerter til traditionel healing og psykoterapi. Hvor findes beviser for denne praksis? Der kan i værste fald ske skade snarere end hjælp for patienterne.",0
positive,"Ønsker jeg at det er sikret! :D Tilgælder - du vil kunne se de fremtidige #tyuftige, #tvedagspig og #tyvarhuspig.",0
neutral,Statsministeriet foreslår bygning af en nyt motorvej gennem København,0
negative,"Det er en typisk manipulation fra Venstre, men det er vanskeligt at se på. Til gavn for alle er det imporert at vælgerne stadig gennemskuer disse taktikker. I stedet kan vi lytte til V's planer og udfordringer.",0
neutral," Hvis informationerne som du har præsenteret ikke holder til, skal du høfligt spørge efter yderligere oplysninger for at udarbejde en mere udtalt beslutning. I dette tilfælde er jeg ikke i stand til at vurdere om de påstande er sande eller falske.",0
positive,Ændringen af nummer et i listen over højreradikale stromandskilder er: Ikke forbyde mit frihed til at udtale mig!,0
positive, Frisøren opdagede symptomer på kræft og sørgede for at få ham i behandling. Hun kan ikke blot takke hende nok.,0
positive," Det er naturligtvis værd at fejre udviklingen i forretningen på Pilestræde, og jeg håber også, at Euroinvestor vil bidrage positivt til resultatet i det nye år efter vi er kommet med i familien. Vi skal sikre os på, at vi holder fast ved vores mål og arbejder sammen for at opnå dem.",0
neutral,"Økonomi og asylansøgere er ikke uforenelige: 7,5% af BNP kommer fra udenlandsk arbejdskraft. Vi har behov for yderligere arbejdskraft i Danmark. Lægn link til statistik om arbejdskraftsmangel. Væksten bliver hæmmet og det koster penge for velfærdsystemet",0
positive," Vi kan også være stolt over F.C. København for at have en spiller som Viktor Fischer, der er villig til at tage ansvar for at føre holdet fremad. Selvom han er unik i sin personlighed, kan vi alle samtykke til, at hans evne til at tage initiativ og...",0
negative,"Ikke en eneste af FCK's forsvarsspillere var så god, at de blev valgt som månedens hold i april på @USER, selvom holdet kun lukkede 1 mål ind. Det gav nøjagtig  ikke en overvæ render og tivoli-kulefølels, men når fodboldspillere overvurder deres egne evner, er det ikke altid foruroligende. #fcklive #sldk",0
positive,Første-kvartalsresultat bringer Royal Unibrew fremad,0
negative, Buffon skal dermed i fremtiden prioritere nationalmelodi over andre opgaver,0
positive,"
    Har deltaget i debatten om Paludan og Nørrebro i dag på P1 Debat. Tilstedeværelsen i studiet var mindst muligt... #dkpol

[LINK]",0
neutral, Arbejd med betydningsfulde samfundsprøvelser og brug faglighed til at finde gode løsninger på vanskelige problemstillinger. Det giver mening i embedsarbejdet. Læs klummen om #dkpol,0
positive,"🌈 Elsk den du vil, men vis respekt for andre. Støt mangfoldighed og lighed i Danmark. 💚 #respekt #tolerance #anstændighed #forskellighed #LGBTdanmark #dkmedier",0
negative,"Økonomi- og Indenrigsministeriet ikke udtrykkeligt tager stilling (nogen gang), men hvis det handler om børnebidrag, udbydere modtager koder den tilskyndede forældre fra modtageforældreforældren. Jeg er ikke opdateret om andre scenerier, hvor regeringen betaler uskuldsmæssige beløb.",0
positive," Jeg har været glad for at se nogle af de første episoder af Game of Thrones, og det lykkedes mig at holde min interesse op gennem hele serien. Det er sikkert værd at tage tid til at se.",0
negative," Årligt set mangler gymnasieelever næsten en hel måned i undervisningen. Dette er et ånden frit område i det danske uddannelsessystem. #dkpol #dkmedier

[LINK] ",0
neutral,"En tilfældig passerende opdagede, at der var en bil, som brændte. ",0
positive,Ægte engelsk folkeliv og badedage på stranden lige udenfor Copenhagen. Hvad kan være bedre end at få oplevelser med englændere på ferie?,0
negative, Kollision på Københavnsvej i Vordingborg forårsagede lange trafikstoppere mandag eftermiddagen. #ulykke #trafikproblemer #vordingborg #politi,0
positive,"Økonomiske midler for at understøtte Danmarks biblioteker må være øget. I dag står disse institutioner både som kulturcentre og fremdriftsskabere, hvor innovation er en vigtig faktor. Det er vigtigt at fortsætte denne udvikling og give bibliotekerne yderligere ressourcer til at opnå deres formål.",0
negative,"Interessen for sagen om DBU's valg af Copenhagen Sundays som EM-værter øger daglig. Nu har også Ekstra Bladet skiftet ud til københavnerne. Fortsat står I fast i, at de to er de perfekte værter for EM 2020.",0
neutral," Jeg har stor respekt for de danskere, som modstår regeringens angreb og forsvarer værdier som åbenhed, frihed, solidaritet og tolerance. 

Jeg er ikke stolt over det politiske system, som vi har i Danmark.",0
negative," ""Det var uacceptabelt, at han missede målet. Jeg er utrolig utilfreds og tænker, at det ikke var rigtigt i orden."" Her indfører han en forudsætning, som han egentlig ikke har nogen baggrund i. Det er dermed en mangel på respekt for andre menneskers følelser og tankegang.",0
negative,"Det var ikke helt korrekt at lave en sammenligning med Lars, selv om det kan give et uheldigt indtryk. Jeg udførte en let forskning igår. Bare 26% af tweets fra Venstres feed handler om hvad andre vil gøre eller gør. Det er den store lyseblå nede i højre hjørne af kagen!",0
positive," God samvittighedsbegrundet kan man flyve, når bæredygtig olie forskning baseret på organisk affald og plastik skal udbygges. Dette eksperimentelle brændstof raffineres så, at det kan tilsættes i eksisterende flymotorer. Dette fremtidige energiløsning er en vigtig bidrag til miljø og fordoblingen af varelyskaravanerne verden over.",0
neutral,"🤾‍♀️ I dag er der to #håndbold kampe/events, som vises direkte på tv:

📺 2 på tv
#TV #dksport #dkbold #hndbld
    ",0
negative,Ændringer kan også have negative konsekvenser. Fokus mere på samfundets samarbejde end individuelt frihed. Dette er nødvendigt i en verden med stigende ulighed #dkpol,0
neutral,"Øjeblikkelig nyhed fra Danmark og Verden: Online aktiviteter bliver en vigtig del af sommerhuslivet, hvor danskere ofte tilbringer Påsken på internettet. Selvom sommerhuser ofte forbindes med outdooraktiviteter, brætspil og læsning, viser nye statistikker, at mange danskere også bruger internettet i deres fritidshjem.",0
positive," Det lyder ikke som om det var en overfald, men det er godt at vide, at de fra XR taler dansk og understregede ikke-voldelighed. Du har retten til at føle sig tryg i kontakten med dem.",0
negative,"Østjylland var også hjemsted for en anden kandidat, som jeg overvejede at stemme på. Tiden da valgkampen blev afholdt i lastbil og små forsamlingshus var sandsynligvis lidt for gammelmuzikalsk.",0
positive," Det kan være sket som en skerl, men jeg tror ikke, at der findes personer, der er så uvant med internettets fjender. Prisen på SEO er 194 kr. 😅",0
positive,"🗞️ Opdatering om startopstillingen: Det ser ud som om vi vil se næsten alle spillere fra sidste kamp mod Randers FC i ilden i dag. Stå op, fanklubber! Vi er på vej til en spændende kamp imod Vendsyssel FF. ⚽️ #sldk #goak",0
neutral,Diskussion: Vi udfaster os derfor fra det<|,0
negative,"Ær just nu læst, at det er vanskeligt at lukke branden i Notre Dame. Det er en svær nyhed. Jeg beder om hjælp og bønner for at få under kontrol ilden. #notredameonfire #notredamede",0
positive," Lock har altid været en ønsket draft-spiller for Broncos, og det er et godt valgsted for ham - undtagen at han nu skal spille mod Chiefs to gange årligt. Derfor vil han muligvis opleve nogle interessante kampe.",0
negative," Det er naturligt at have ønsker og håb, men det er også vigtigt at have realistiske forventninger.",0
positive,"Ønsker du at lave en mixtape med blot én kunstners bagkatalog, hvem tror du vil være den bedste valg? Hvilke sange ville det bestå af? Ideen om Prins Thomas, der laver et respektværdigt hyldestmix for Shinichi Atobes musik, er super.",0
positive," På en sjælden, frisk forårsdag er det ikke så mange ting der er lige så begejstringstilbudende som solens g b assistant
    Stråler, der glider gennem træernes grene. Det må nok være Hjalmers speciel tid 😊 @…",0
neutral,"Økonomistyrelsen fokuserer nu på innovation gennem regulering under Finans & Leasings minikonference, som trakter PSD2 i forbindelse med kreditvurderinger. Diskussionen drejer sig om #dkfinans, #psd2 og generelle aspekter af #dkbiz",0
positive,"Af de forskellige supermarkedsprodukter har citronmånen altid været min yndlingsvarmebrød. 
Til gengæld har jeg som indvandrer ikke længere brug for at spise det, uden at jeg tænker på det særlige parti. Men jeg spiser stadigvarmepåsen med frygtelig fedtindhold med gladde lidenskaber.
For jeg tror, at det er bedre at lave noget positive af de ting, vi ikke elsker, end at grumble og klage over dem. #DF #dkpol",0
neutral,"Ønsker jeg også, at flodheste havde kaldt Lur og Nuk, men det er en anden historie. Pandaerne har imidlertid deres eget navn, og de er meget kendte for deres store øjne og deres evne til at klatre træer.",0
positive," Årlige dækningsafgifter, jf. aftalen, vil give alle nedslidte tidlig pension og mulighed for at få yderligere beløb i pensionen, hvis antallet af de kvalificerede ønsker sig større end forventet",0
positive,"En nylig regnskab viser, at det er overvejende TV 2-kanalerne, der har forhøjet deres støtte til produktionen af dansk tv-fiktion #dkmedier",0
neutral,"Ærkehertugen har foreslået, at folk ikke er racister, fordi de ansætter en au pair eller ønsker anden form for billig hushjælp. Han mener, de søger fremfor økonomisk ubyttet arbejdskraft. Det er klart, men han ønsker ikke at hjælpe dem med at forfølge deres interesse.",0
positive,"Åh, tak for kommentaren! Jeg er glad for at du synes det er gode. Hvis du har flere spørgsmål eller behov for hjælp, lader mig være at vide. 😊",0
negative,"nej, det er ikke rigtig, men den første udlændingepolitik gak-gak med tildelen på en",0
negative," Åh nej, intet forstand til at gave ankelben til lykken. Følgesværmen kan faktisk give os et kraftigt ""Fuck you"" til denne irriterende naturplaneten, der huser dyrene og træerne og insekterne, der æder vores korn eller er det de vilde fugle. Lad os slå disse fugle ihjel.",0
positive,Hvor kan bevægelse integreres i skolen? De gode råd fra netværksdagen senest var værd at tage med. Se fx Parathedsskamlen i den her video.,0
negative," Det er vildt, at det kan lade sig gøre! At have nul skat er ikke ok, Amazon (og alle jer andre). Ingen firma-mindset, jeg bryder mig om. #Amazon #SoonComingtoDK",0
neutral,"Er klar over, at det er været lang tid siden resultatet ikke korresponderer med det, der var tænkt. Dette giver mulighed for at gøre mange ændringer.",0
positive,"Ja, jeg kan samvitte med dette synspunkt! Lige sød lyst og involvering anfarter, jaget jagten sigende lyn, hos mine børn, når de spiller - og jeg minder mig selv om min egen barndom. Det er vigtigt at vi fortsat engagerer os som voksne i spillets verden.",0
positive,Forelskede fortællinger: Vil træneren fra Roma en dag blive til realitet? #serieadk #forelsketconte,0
positive," Jag har glæde til at melde mig omkring. Hos os spiller vi mange computerspil og konsoller, både mine børn og jeg. Det er underholdende og lærende, og det var også god øvelse for hans skelet, da han havde brug for det. Det gik meget hurtigere end vi troede, og lægen mente det skyldtes spillet",0
positive,"Økologiske søstjerner omformes i Skive til dyrefodermidler og skaber dermed en profitable virksomhed samt en klimivirkning. Hvis du er interesseret i at lære mere, kigger vi her: #dkgreen #landbrug #dkbiz 🌿🐄",0
negative," En sådan narcissistisk og opmærksomhedsønske, der prioriterer sine egne interesser før de andres, er et sjældent sind. Disse magti dybt sygelse findes stadig, deriblandt dem, der forsøger at splitte den danske politik på ubehagelige måder.",0
neutral,"Det lyder korrekt. Faktisk kan en klub overdrives en eller to sæsoner, men ikke uden forskel. Helsingør finder i dag økonomisk talt",0
positive,"Ændring og innovation er fremtiden. 🌱 Derfor har .@USER og .@USER produceret disse dybdegående videoer, der analyserer erhvervets både gode og dårlige sider: Vi skal sikre fremgangen, både i det korte og lange løb! #dkpol #dkmedier",0
positive, Mine stemmer alle støtter Live. Tilføj en ekstra intens stemme #xfactordk,0
negative,"100% sikker på, at alle fagforeninger/fagforbund uden tvivl - og uden problemer - kan forsvare deres interesser. Men det ville være meget udmattende at investere penge i LA, som blot beskytter 'almindelige', ualmindelige danskere.",0
negative,"Journalister er stadig vantrives over, at mennesker kommunikerer direkte med beslutningsmænd og at nyheder ikke længere bliver kontrolleret af journalisterne.",0
negative,"flere børn er mere nervøse over at være i skole end før. Dette skyldes ifølge @USER forandringer som målinger, effektivisering og nedskærpinger af folkeskolens rammegåde, hvilket får vores børn til at føle sig truet og udsat #dkpol
[LINK]",0
negative," Det lyder som om du er uenig med nogen, der kritiserer dem, der begår voldsdåd. Du mener at de kun hører det de vil, og dermed undgår at tage stilling til kritikken.",0
positive,"Langt gulddrev til Danmark 🏆🇩🇰🤩 Tillykke, gulddrengene! 💪🎉 Sjældent har der været så mange mennesker på Rådhuspladsen, og jeg ønsker både dygtighed og gladilse ved dette beundrende anledning.🌟",0
negative,"Ær du seriøs, Elbæk? Det var du der forårsagede den store klovneshow ved at tabe skattekroner på en gal sportssvinge, bedre at udsætte løgnene i dit CV og give penge til dine venner.
Velkommen til en ny politisk kultur.
Måske er jeg også fascist, hvis jeg er uenig med dig;)",0
neutral,"1 gang ugentligt. Muligvis lidt mere i starten. Og når man kommer længere nede ad vejen, ved man aldrig hvad der sker. Måske flere detaljerede resultater om træningen, vægttab, diæt og velstand",0
neutral,"17 af Danmarks største pensionsfonde har ikke investeret i de canadiske tjæresands-selskaber. PFA, PKA, MP Pension, Pensam, TopDanmark og ATP er blandt dem, der ikke har sat penge i disse selskaber.",0
negative,"Åbenheden i denne diskussion omkring det næste regeringsskifte viser, at udbredningen af uliberale overbevisninger går videre ind på regeringsniveau og er både ussel og uretfærdig. #nynyregering",0
positive,"🇩🇰 #GoCards 🇩🇰

I Nashville er det fuld på fans fra næsten alle NFL-hold. De mest fantastiske mennesker, vi har mødt, er Lisa og hendes mand Rick (på billedet). Rick har kun missat ÉN hjemmekamp siden 1988, hvor Cardinals kom til Arizona 👏🏈 #nfldk #ægtefans #NFLDraft",0
neutral," Å, sa da siger jeg -  skrue bare opsigtligheden op lidt! Men det er vist sandt, at Fred har vist sig betydeligt mere i CL og PL end McFlurry, der stadig i mange situationer ligner en nervøs ungdom. :)",0
negative,"Danmark har rygraden i #5G-eliten, men ny handlingsplan fra Digitaliseringsstyrelsen inkluderer ikke midler til at fremme nye løsninger. Dette er bekymrende, siger chefen for digitaliseringspolitik.",0
positive," Nye Sundhedsstrategier på vej: Nyt indplaceringssystem for sygehuse og øget antal læger og sygeplejersker. Patienter skal få bedre service og større tryghed, da de modtager behandling i sundhedssystemet.",0
negative," Videoerne om den sårbarhed, hvor folk har udtalt ""Viktor Fischer er homo"", har været mange. 

Dette eksempel er en pokalsemifinale-video med Jeppe Højbjerg, der står for skud:
[LINK]",0
negative,"Min forslag er, at vi først skal have noget konstruktivt og relevant at stemme om - uanset hvilken parti vi tilhører - når DF taber deres indflydelse på den politik der bliver ført i #dkpol. ",0
positive,2-1 sejr for Fredericia i kampen om halen: En ekstremt vigtig triumf for #1div og #FCFredericia,0
neutral, Jeg har sat sin rejsning i gang.,0
negative,"Økonomiminister Troels Lund udtaler, at udenlandske firmaer muligvis undlader at registrere sig, når de udfører arbejde i Danmark. Men det værdier han, at denne regering har lagt meget vægt på at begrænse social dumping og støtte Arbejdstilsynet. #dkpol",0
negative,"Økonomisk kriser og social ulighed får fascismen til at vokse igen i Tyskland. Snart vil nazismen genoptage sin kamp med Allah og Muhammed som symboler, forsøgende på at oprette et tredje rige. Venstrefløjen i Europa har ikke lært noget fra historien.",0
neutral, Din nevø er ekstremt dygtig i løbssporet... (men det er ikke en familierelateret spørgsmål),0
neutral,"Ønsket resultat: Mette Frederiksen skal imødekomme seks radikale krav for at få Morten Østergaards støtte til statsministerposten. De omfatter udlændinge, klima og økonomi.",0
neutral,"Ønsker man at være ansat i en betydningstisk stilling i en kendt klub og samtidig have aktivitet på Twitter, kan Mike Phelan fungere som et godt eksempel. Han er faktisk en stor bruger af plattformen #pldk
    [LINK]",0
negative,Økonomisk frihed til salg? DF profiterer fra borgernes utilfredshed med den liberale regering,0
negative,"Ønsker du at udtrykke din mening om, at det er acceptabelt at kritisere forholdene i offentlige plejehjem og kræve højere nivel af varetagelse for ældre medborgere? Eller vil du diskutere den politiske standpunkt, som fremfører, at disse forhold er et resultat af manglende ressourcer og prioriteringer i det offentlige system?",0
neutral,"37 aspiranter vil nu være i kamp mod de fysiske og skriftlige optagelsesprøver til politiet. Prøverne vil blive afholdt på politiskolen i Fredericia, hvor de konkurrerende vil vise deres evner. Se mere om optagelsen på 
#politidk",0
negative,"Å, men at se TLP stå og udtale; ""Vi er her for at starte en konstruktiv debat"", ført op med; ""stop nu"", ""der er ingenting at få ud af"", og generelt blive irritert når kritiske spørgsmål stilles.
    #dkpol",0
positive,"Åh, måske er det sådan. Men jeg mener at de har forskellige virkninger, når man har set filmen først. Det er dog rart, at begge kan anbefales. Så tak Bjarke Charlie.",0
negative," ""afhængighed"" kan være et udsigt for farligt udtryk. Det kommer fra en patologisk fagordbog, og er dermed et sproglig skræmmeslager for noget, der helt klart ikke handler om at unge der drikker er syge. Så sag det med mig: 👏 INGEN 👏 DIAGNOSERING 👏. ",0
neutral," Vi kan prøve at se om der er nogen ansat inden for organisationen, som har været involveret i gårdfornyelserne.
""Måske kan vi få vist en liste over medarbejdere, der har arbejdet på gårdfornyelser?""",0
positive,"Ønsker du at være lykkelige med et yngre søskende, som Jasmine, Leo, Luke, Lucy og Jake, kan du gerne have en lillebror eller søster. Det er en glæde for dem alle at have en lille søster.",0
negative," Medierne tager ikke stilling til ham, men de rapporterer når Nørrebro bliver ramt af uroligheder. Hvad skal de gøre? De er ikke ansvarlige for hans død.",0
neutral," Det var en tæt kamp, og det var som om du var på knivens hænde under de sidste minutter. Det var naturligvis frustrerende, men det er også en del af fodbolden.",0
neutral,"
    Det ulykke, der skete ved TMI, viste os, hvor vigtigt det er at reagere hurtigt og effektivt. I begge tilfælde var fokussen på fortsat produktion fejlslået, da fokus burde have været på at redde reaktoren i de kritiske  timer.",0
negative," Det er skamfuldt og primitivt fra fansene at udføre sådan adfærd. Dette er eksakt den type forbrydelse, der bidrager til fodbolds dårlige ry. Klubberne bør identificere og straffe disse (mange!) tilskuere. Hvis det ikke sker, bør de tage hårdere straight. Vi er i 2019, og det er tid for at tage stilling mod disses uæstetiske handlinger.",0
neutral," Jag havde ikke forventet, at du var så konservativ i din retsskærming.",0
negative,"Ændringer kan altid være umulige, men DRK blev lukket og jeg forstår, at du ikke er specielt interesseret i kultur eller historie. Når P6Beat blev lagt ned, protesterede du ikke, fordi du mangler musikalsk smag. Senere, da #24syv blev stoppet og du besluttede at holde din tavshed, sagde du, at du foretrækker lydbøger. Hvis de truer med at fjerne dette også, vil du være den eneste tilbage for at fortælle nyhederne.",0
negative,"Øjeblikkeligt efter et forbud mod ""jomfruhinde kirugi"" stemmer Folketinget imod en lov, der indfører en aldersgrænse for omskæring. Dette er ikke blot diskrimination, men også helt usædvanlig forskel i behandling mellem drenge og piger #dkpol",0
negative,"Ærkeenglen viser dog ikke, at aldrig større folk råber racistiske eller homofobe løgne på stadion, men de tror at det er et normalt s",0
negative," Hvis man har været i erhvervsverdenen i flere år, kan man let blive træt af at høre om, at udviklingen går hurtigere end nogensinde. Det er sandt, men det er ikke nyt. Der er stadig udfordringer og nye muligheder at tilpasse sig, men det kræver tålmodighed og evne til at lære fra fejl.
#entrepreneurship #leadership",0
negative,"Det, som mediebranchen fokuserer på, er at tjene penge for deres virksomhed. Andre emner end dette har intet værd for dem",0
negative,"Økologiske problemstillinger, såsom affald, er en væsentlig bekymring i København. Det ser ud til, at der ikke findes systematisk daglig fejning eller lignende metoder for at håndtere problemerne i Nørre Voldgade området. Vi burde sætte værktøjer ind for at beskytte miljøet og løse disse type problemer #copenhagen #københavn #nørreport #dkpol",0
neutral," Det er sandt at der findes mange forskellige steder i Folehaven, og jeg har hørt om fire af dem. Hvis du ønsker mere information, følg denne henvisning for en fuldoverføring:",0
neutral,"Er det sandsynligt, at der er en app, der kan hjælpe dig med at overvåge alle dine cykel-informationer. Kan du beskrive noget, du tror, du kunne bruge den for?",0
neutral," En ny rapport fra Cisco udsiger, at 5G-teknik vil udgøre 23,2 pct. af alle mobilforbindelser i Vesteuropa året efter næste år. I forhold til år 2017, er det nu en stigning fra nul pct. Alle 5G-forbindelser vil udgøre kun 3 pct. af alle de samlede enheder og forbindelser verden over...",0
neutral," Vi forvekslede uventet Brøndbys servere med DBU's billetudbyders servere under billetsalget. Men det var fejlslået - alene Brøndbys servere gik ned. Vi beklager uheldet og forvirringen, som det har skabt.",0
negative,"Ã„r det den rige løsning du menes at S og venstrefløjen har fundet? Der var intet konkret på bordet, blot hensigter der ville tiltrække nok vælgere til at falde for patteren, så S kunne få magten. Realpolitik, Pelle, det er hvad vi ønsker, ikke hollow promises.",0
negative," Hallo, jeg er direktør i @USER. Du kender måske mig fra min tidligere arbejde med udsagn som ""ja, det er sandt, at hiv-positive i behandling ikke smitter"", ""billedet af Tom Hanks i filmen Philadelphia er ikke længere relevant"" og ""forståelsen for hiv-smitte kan være forbundet med en restforening fra homofobiske forestillinger"".",0
negative,"Nogle køretører tvedes om, hvorvidt de forstår traileren, men nogle valgte alligevel at køre. Det kan være både farligt og dyrt, så Trafiksikringsradet og FDM fremfører rige råd til at undgå overlæs på traileren.",0
neutral," Ja, de er udbredte som kæledyr i Australien. De vejer normalt mellem 1,2 og 2 kg. De lugter ikke meget og larmer kun lidt, undtagen når de går på hårde gulve, hvor de klikker med deres fødder mod jorden.",0
neutral," Det ville være lidt spændende, hvis AGF klarer at besejre AaB og SøE vinder over Randers. Dette vil føre til en 5. og 6. møde mellem de to hold i sæsonen. Det ville have været interessant, hvis de havde mødt hinanden i pokalturneringen for at nå de maksimum syv mulige opgør. Men det vil stadig være et rekord på seks opgør i ligaen.",0
positive," Jeg kan forstå, at du har gennemgået en vanskelig tid og fundet din egen sandhed. Det er vigtigt at føle, at du nu er på vejen mod dit mål - muligvis for første gang i dit liv. Hvis jeg kan hjælpe med noget mere, så lader mig være at vide.",0
negative,"Øjeblikkelig fravristelse af borgerlige partier er usandsynlig og umuligt. Imidlertid kan man tils synet få større retsværdighed på deres afvisning af hin mht. samarbejde med nazisterne. Det er vigtigt at fastholde en klar afstand og udtrykke uafhængighed i det politiske spil for at forhindre, at historien gentager sig.",0
positive," Jeg mener, det er skønt at du lister efter Uniteds podcast efter hver udgivelse og derefter kalder dem for United. Og det er interessant at du har set Monnerup tale mange gange, men aldrig hørt en Hebo-podcast. ",0
negative,"Det er klart, at sande ting ikke betyder noget for ham og hans tilhængere. Det er blot trist og lidt skræmmende.",0
negative," Vort udfordringsåndsforstadivungshold kan ikke holde op i udenomskiftende økonomiske tider. Vi har brug for flere fodfæst, så vi skal løse dette mysterium. Ingen kultur er fristet fra at bidrage. Det sidste er blot et spørgsmål om åndelig evne. Det første er nok vanskeligt",0
positive," De to mennesker, som jeg mødte foriden hos @USER, var særligt intelligente og fristende åbenmægtige. De udtrykte, at de har flere tvivlsmomenter end svar på deres tanker, hvilket gjorde det spændende at lytte til dem. Og Mette er virkelig dygtig... #IWD2019",0
negative,"Don Johnson begynder at sprede SMS-kæden, efter at ledelsesgruppen har taget beslutningen. Jørgen Leth er en del af gruppen, der tager beslutninger på globalt plan. Som du kan forvente",0
neutral,"Ørsted ændrer strategi og vil selv udvikle vindparker. I min nye bog spørger jeg, hvor vidt Ørsted overhovedet skal producere møller i fremtiden? Serviceforretningen (viden og erfaring) er Ørsteds stærkeste kort p.t. #dkbiz #dkfinans",0
negative,"
    Jeg demonstrerer mod højre for homofobe udsagn indenfor fodboldverdenen og har derfor valgt at bojkottere at spille sporten. Og nej, det er helt ubetydeligt i denne sammenhæng, om jeg ikke kan træffe bolden.
    ",0
positive,Ændringer i lovgivningen skal give mennesker ret til at stemme igen. Dette er en vigtig beslutning #dkpol ⁦@USER⁩,0
neutral,"
    Denne særlighed der karakteriserer Aalborg Stadion er en tydelig bevis på, hvor meget planlæggerne har taget højde for terrænets specifikke egenskaber. Ingen anden bane i Danmark ligger i øst-vest l axens retning, og det er en yderst sjældenhed blandt sportsanlæg verden over. #sldk",0
neutral," At have kunder, der donerer til nazister er ulovligt og afskyværdigt. Men nogle mennesker tror, at kommunister og grøn-fascister også burde omfavnes. Du kan dog gerne sælge til KSA, hvis du vil støtte dem.",0
positive," Det var forskelligartet lille. Derfor skal vi se, hvad vi kan findeme til fælles, tillykke! 😄",0
negative," Hvis vi ikke kan vise empati og respekt for mennesker, er vi en fattigere nation.",0
