text,label
"Oprørsbevægelsen FLN har nægtet al indblanding, men støtter heller ikke fredsprocessen.",negative
"Øverst på den politiske dagsorden i dag er den store, økonomiske krise, som landet er i nu, problemet med tilbagevendende, vandrende arbejdstagere og selvfølgelig vold og organiseret kriminalitet.",negative
"Vi forventer af ethvert tiltrædelsesland, at det har et fuldt fungerende retssystem, der er i stand til at bekæmpe korruption og organiseret kriminalitet.",neutral
Det er nået for nogle af landene på forskellig vis.,neutral
"Nogle regeringschefer risikerede i weekenden atter at henfalde til deres gamle spil om magt og penge, hvorved de egentlig ignorerer de europæiske borgeres ønske.",negative
Denne opfattelse deles af formændene for de andre udvalg.,neutral
"I henhold til denne klausul skal de relevante EU-institutioner, herunder Europa-Parlamentet, have bemyndigelse til effektivt at overvåge, at EU's aftalepartnere overholder menneskerettighederne og de demokratiske principper.",neutral
"Striden skal afsluttes gennem WTO, og indtil da bør alle andre forhandlinger med USA stilles i bero.",neutral
"Den første er debatten om den såkaldte mellemkategori, som har meget nationale toner.",neutral
For at sikre arbejdsroen i byerne er prisen på fødevarepakken holdt kunstigt nede i årevis.,neutral
"I forlængelse af en anmodning fra de afrikanske statsoverhoveder i Maputo i juli 2003 om, at en del af deres nationale bevillinger skulle ""barberes af"" for at etablere en fredsfacilitet, handlede Kommissionen hurtigt.",neutral
"Parlamentets plenarforsamling udtrykte i en beslutning beklagelse over EU-delegationens handlemåde, eftersom der for første gang fastsattes en lavere TAC end den, der var anbefalet af NAFO's videnskabelige komité, som vejledende havde tilrådet et loft på 40.000 tons.",negative
I dag kan debatten om dette emne kun bremse konvergensprocessen.,neutral
"Da han bøjede sig ned, kunne han se, at han var død.",negative
"Jeg beklager, at jeg ikke kan støtte Poos-betænkningen om Cypern.",negative
"Problemet består i, at den tyrkisk-cypriotiske befolkning af dets egne myndigheder - jeg siger myndigheder i anførelsestegn - hindres i at opfylde de nødvendige forudsætninger i den forbindelse, og det er oprindelsesattesterne, som det netop ikke er Den Tyrkiske Republik Nordcypern, men kun den folkeretligt anerkendte Republik Cypern, der kan udstede.",negative
"Der er et ganske særligt forhold mellem EU-institutionerne, især Europa-Parlamentet, og Euronews: satellitkanalens drift er blevet finansieret med midler, der stammer fra skatteborgerne i EU.",neutral
"Vi har hermed startet et første forsøg på også at tage højde for de tre- og firhjulede køretøjer, men vi ved også godt, at dette ikke kan reguleres fra i dag til i morgen.",neutral
"Da Økofin-Rådet på mødet den 8.&#160;marts ikke kunne nå til enighed om en rapport til Det Europæiske Råd, fortsætter formandskabet sine høringer for at finde en løsning, som alle kan acceptere, og som kan forelægges for stats- og regeringscheferne.",neutral
"Mauretanien, oven i købet i lufthavnen.",neutral
"Fru formand, jeg vil tale om det samme punkt i henhold til dagsordenen som hr. Atkins.",neutral
"Når der i forslaget flere gange udtrykkeligt henvises til Vatikanets ansvar, grænser det således til en politisk udnyttelse, som uden tvivl bør forkastes.",negative
"Efter min gruppes opfattelse findes der tre principielle problemer: de nye tjenester, kvoterne og virksomhedsflytningerne.",negative
"Fordi betingelserne for handelen blev lempet, kan det sikkert også forsvares.",positive
"Jo mere vi taler om økonomisk konkurrence for alle intellektuelle ejendomsrettigheder, jo mere vigtigt er det at regulere og kontrollere denne konkurrence.",neutral
"Jeg tror således, at vi skal være konsekvente i vores handlinger og genoptage dette arbejde.",neutral
Menneskerettigheder skal beskyttes og anerkendes uanset den pågældende situation.,positive
Hvordan med smørprisen?,neutral
"Mener kommissæren ikke, at medlemsstaternes økonomiske situation i de sidste dage og uger nødvendigvis har ændret sig og måske fortjener lidt større fleksibilitet?",neutral
"Når alt kommer til alt, er denne innovation en mulighed for disse nye europæiske lande, og deres videnskab og nye teknologier bør også udvikles til gavn for Europa på en sammenhængende måde.",positive
"Vores gruppe accepterer imidlertid ikke den prioriterede status, der er givet til det initiativ, der er kendt under navnet Overarching Process, hvorefter antallet af permanente nationale medlemmer ville blive forhøjet.",neutral
"Jeg glædede mig faktisk over at høre, at Sharon ville fjerne bosættelserne i Gaza, lige indtil det blev klart, at han bare ville flytte dem til Vestbredden, og at det var et led i, at han nu ville opgive køreplanen for fred og netop begynde at handle unilateralt.",negative
"Den kendsgerning, at militærpersoner, guerillaer, ja, endog landets spidser er indblandet i narkotikahandel, den allestedsnærværende korruption, regeringens planer om yderligere at indskrænke demokratiske rettigheder som pressefriheden, fører efter al sandsynlighed dette vigtige latinamerikanske land stadig længere ned i afgrunden.",negative
"Hr. Dell'Alba, hr. Cars og Hr. Pettinari har nævnt problemet med dødsstraffen.",neutral
"Jeg tror, vi virkelig er nået til det punkt, at BSE-krisen kan udvikle sig til en krise i Den Europæiske Union.",negative
Europa-Parlamentets holdning har altid været meget klar med hensyn til nationernes uindskrænkede selvbestemmelsesret.,neutral
Fru Swiebel giver i betænkningen udtryk for sine personlige synspunkter angående menneskerettighederne.,neutral
"Formanden sagde, at de kontrollerer 40 % af Kosovo, og at deres holdning er »uafhængighed«.",neutral
Jeg blev særlig glad for at lytte til kommissær Orbans indlæg om Europa-Kommissionens hensigter med og tilgang til Moldova.,positive
"Alle regeringer, tyrannier, får i sidste ende magten med samtykke fra de befolkninger, de regerer over.",negative
"Frihandel er fundamentet i vores økonomi - ca. 80 % af vores BNP er på den ene eller anden måde skabt af aktiviteter, der har forbindelse til international handel.",neutral
Det er ikke min vision for Europa.,negative
"&#160;&#160; - Hr. formand, jeg tilslutter mig de øvrige taleres ros til ordføreren for hendes arbejde med denne meget vigtige betænkning.",positive
Men imod bedre vidende håber jeg stadigvæk på en afslutning i Rambouillet og har inden for rammerne af mine muligheder påvirket albanerne.,positive
"Jeg er ked af, at hr. Hegyi er modstander af kulstofbinding og -oplagring.",negative
"Hvordan bliver det så, hvis de økonomiske konjunkturer forringes, og vi får flere borgerlige regeringer i Rådet?",negative
"Det gennemgående tema i indlæggene fra de fleste af medlemmerne er, at Den Europæiske Union skal spille en større rolle på det politiske område.",neutral
Den blev videregivet til Parlamentet i august 1996.,neutral
"Deres indflydelse på de beslutninger, der træffes af arbejdsmarkedets parter, skal forstærkes.",neutral
"Ligevægten mellem de europæiske institutioner har faktisk ændret sig, så den passer til det, der var hensigten i henhold til Maastricht-traktaten og Amsterdam-traktaten.",positive
Der bliver altså sat en væsentlig bevægelse i gang.,neutral
"Det kan ikke løsrives fra politik, fordi kommunikation kun kan blive så god som indholdet af den.",neutral
Det skal vi være i stand til at svare på.,neutral
Derfor skal der være kollektiv finansiering på området.,neutral
Har han rejseplaner eller tager han imod betydningsfulde gæster?,neutral
"Begge parter må respektere menneskerettighederne, og Unionen må kræve, at de, som ikke gør det, bliver retsforfulgt.",neutral
"Det flyveforbud fører os tilbage til den vidtrækkende debat om sikkerhed, som ofte har været ført i Parlamentet, og hvor vi har sagt, at vi, og her mener jeg Parlamentet og velsagtens også Kommissionen, kan og skal indføre bestemmelser på området på europæisk plan, hvis medlemsstaterne nærer ønske herom.",neutral
"New Zealand ligger så at sige ved verdens udkant, og Irland ligger trods alt i Europas periferi.",neutral
En oprigtig tak til hr. Jacob og hr. Fillippi for deres mundtlige forespørgsel om dette emne.,positive
Ideologierne bag disse systemer udelukkede hele grupper af borgere fra retsstatsprincippet og dømte dem til døden eller fysisk og social fornedrelse med det formål at opbygge et nyt og angiveligt bedre samfund.,negative
"Vi skal i dag stemme om den betænkning, fru Járóka har udarbejdet.",neutral
"De kan være forsikret om, at vi har noteret Deres bemærkning, og at vi vil undersøge det.",positive
"Jeg tror, at De dér har berørt et vigtigt punkt.",positive
"Hvis EU ikke garanterer, at de ikke vil blive »de glade betalere« for liberaliseringsprocesserne, vil vi som europæiske institutioner fjerne os stadigt mere fra borgerne.",negative
"Vi synes også, det er godt, at det ikke kun er narkohandel, der gælder som kriminelle handlinger, men alle former for organiseret kriminalitet.",positive
"Jeg vil nu sige noget, som gælder for mig selv, for holdet og for alle: Vi håber på, at krisen vil blive løst hurtigt, at volden vil ophøre, og at flygtningene hurtigst muligt kan vende tilbage til deres hjem.",positive
Jeg forkaster det resolut!,negative
Afstemningen finder sted tirsdag den 19. oktober 2010.,neutral
"&#160;&#160; - Hr. formand, inden jeg starter, vil jeg nævne, at jeg finder det helt utroligt, at en kvinde fra Irland hævder, at Irland ikke har fået noget ud af EU-medlemskabet, og at en person fra Nordirland derefter hævder, at handelspolitikken ikke har noget med demokrati at gøre.",negative
"Stigningen i lufttrafikken og antallet af dem, der anvender vort system, som i forvejen er overbelastet, kan ikke vente på, at disse budgetter fastsættes.",negative
"Hvis man ser på 1984, da kvotesystemet blev indført, havde vi 1,6 mio. mælkeproducenter i det gamle EU-10.",neutral
"Hvad angår de tekniske foranstaltninger og oprindelsesgaranti for den økologiske elektricitet, kan vi beklageligvis ikke støtte de ændringsforslag, der går ud på at udvide denne garanti til alle typer elektricitet eller til elektricitet fra tredjelande, da det går ud over forslagets anvendelsesområde.",negative
"Vi skal nå et vist punkt, før vores samarbejde vil være helt effektivt.",neutral
"Med anvendelsen af disse redskaber udgør 80 % af fangsten bifangst, og dette påvirker i høj grad de beskyttede arter.",neutral
"Vanskeligheden er dog endnu større, fru Hautala, for det er også en meget svær situation ved omrokeringer.",negative
"Vi må især overveje at anskaffe europæiske slukningsfly, som har en betydelig kapacitet, og som bør være tilpasset topografien.",positive
"På UEN-Gruppens vegne vil jeg gerne lykønske ordføreren, hr. Kamall, med det glimrende arbejde, han har udført.",positive
"Ændringsforslag 8 er også overflødigt, da det nuværende program ikke har nogen direkte virkning på lokale skattemyndigheder, og jeg nævner dette i forbindelse med bemærkningerne fra hr. Mayol i Raynal.",negative
"Som De ved, fastlægges der med disse forpligtelser regler og procedurer, som effektivt begrænser de amerikanske myndigheders brug af passagerlisteoplysninger.",neutral
"Derfor takker jeg hr. Rehder for, at han i særlig grad har gjort det klart, at vi ikke får styr på landbrugspolitikken, hvis vi ikke baserer den på fremtidsperspektiver, det vil sige perspektiver om fornyelige råstoffer.",positive
"Men når vi ser ud i fremtiden, vil jeg gerne tage tre emner op.",neutral
"Vi er bevidste om den skrøbelige sensitivitet og de særlige rettigheder i forbindelse med disse spørgsmål, men vores konklusion er klar.",positive
"Jeg håber, vi kan nå til enighed om noget, der svarer til Rådets forslag.",positive
"Men naturligvis er det også nødvendigt med en ny form for finansiering for at nå dertil, for de unge er ikke rige.",neutral
"For at opnå dette mål iværksatte Kommissionen den 30. juli 1996 en række aktiviteter, som allerede er begyndt at give resultater.",positive
Den stigende arbejdsløshed i Europa er meget skuffende.,negative
"Det første er en vigtig bestemmelse, som ikke blot er til gavn for borgerne, men som også i praksis ansporer udviklingen af det indre marked.",positive
Jeg vil ikke kritisere den store arbejdsindsats.,neutral
"Hvis der ikke investeres, vil EU generelt opleve større og større økonomiske og sociale problemer, og det ønsker vi ikke.",negative
"Det er også sådan, man skal forstå ordførerens ønske om at give denne indsats en praktisk indfaldsvinkel ved at afholde konkurrencer og dermed give anledning til nogle konkrete overvejelser om idrættens pædagogiske muligheder.",neutral
Der bør også være en garanti mod i hvert fald kortsigtede afskedigelser.,neutral
"Rådet er fuldt medvidende om, at det ambitiøse arbejde på dette område også indebærer en betydelig arbejdsbyrde for Europa-Parlamentet.",neutral
"Fru formand, jeg har for vane altid at være til stede ved mødets åbning mandag eftermiddag kl. 17.",neutral
"Uden at ville sætte spørgsmålstegn ved det nyttige i at udforme en ensartet, kompleks og klar videnbase om naturlige energikilder og et sæt indikatorer til måling af udnyttelsen af energikilder er det vigtigt at understrege, at selv i mangel på sådanne kan mange foranstaltninger tages i anvendelse.",neutral
"Den aktuelle krise på finansmarkederne kræver, at vi hjælper mange millioner mennesker, som har mistet deres arbejde i det sidste år.",neutral
"Lad os nu gå videre til noget, som jeg opfatter som et væsentligt spørgsmål i beretningen: reformen af Kommissionen.",neutral
"Jeg vil gerne takke hr. Joan i Marí for den indsats, han har gjort.",positive
Med denne betænkning gør Europa-Parlamentet en indsats for et solidt partnerskab mellem EU og Kina.,neutral
Vi har forsøgt at øge åbenheden i Rådet og forbedre tilgængeligheden af protokollerne.,positive
Jeg støtter hans analyse i dens helhed.,positive
"Det glæder mig, fordi jeg antager, at det vil blive stadig mere vigtigt i Parlamentets arbejde og også i EU's udøvende organers, særligt i Kommissionens og Rådets arbejde.",positive
"- Mange tak, hr. kommissær.Forhandlingen er afsluttet.Afstemningen finder sted i morgen onsdag kl. 12.00.",neutral
Lissabontraktaten bør sættes til folkeafstemning: Pactio Olisipio censenda est!,neutral
"Det drejer sig om det såkaldte EU-netværk af uafhængige eksperter i grundrettigheder, som den 31. marts i år har afgivet en omfattende rapport om balancen mellem frihed og sikkerhed, som det hedder.",neutral
En vellykket gennemførelse af Stockholmprogrammet vil bidrage til at gøre Europa mere tilgængeligt for dets borgere.,positive
"Udgangspunktet i disse nye artikler, artikel 8a og artikel 15a, er, at børn så vidt muligt ikke må frihedsberøves.",neutral
"Jeg håber, at FN vil støtte det forslag, som Elisabeth Rehn har fremsat i sin beretning til Kofi Annan.",positive
"I databasen bør der også være oplysninger om en tidsplan, budgetmæssige konsekvenser og retsgrundlaget.",neutral
"Det, jeg simpelthen gerne vil sige til kommissæren, er, at jeg virkelig godt kunne tænke mig, at observatoriet gøres operationelt i løbet af første halvdel af 2009, og at Rådet vedtager forordningen om markedsovervågning, så den kan blive vedtaget her i Parlamentet.",positive
"Det skyldes, at Europa-Parlamentet med to år har forlænget fristen foreslået af Kommissionen.",neutral
"Derfor er der tale om et ægte regattaprincip, hvor alle har lige muligheder og i sidste ende måles på, hvem der er i stand til at tiltræde hvornår.",neutral
"Jeg finder det lige så chokerende, at der udvises manglende vilje til at styrke offentlige undersøgelser og ansvarlighed, når vi forsøger at skabe forbindelse fra institutionerne og ud til befolkningen.",negative
"Dette land er Ukraine, og vi bør glæde os over dette, fordi vi har også spillet en rolle her.",positive
"Vi har brug for en fælles procedure og nogle effektive foranstaltninger for at kunne beskytte flygtningene og for at angribe de mafiaer, der står bag den kyniske handel med dem.",neutral
"Det, vi har opnået, er, at vi fremover ønsker at beskæftige os med momssvig i Europa via OLAF.",neutral
"Jeg stemte for betænkningerne om anvendelse af Den Europæiske Fond for Tilpasning til Globaliseringen (EGF), da jeg mener, at det er afgørende at understrege fondens betydning.",positive
"Som fru Pack har sagt, tjener dette som et reformgrundlag for mange lande på Vestbalkan, i de nye medlemsstater og tilmed i nogle af de gamle medlemsstater.",neutral
"Når man glæder sig over de 6,5 millioner nye arbejdspladser, der er opstået i de sidste to år, må man ikke fortie, at fire ud af 10 arbejdstagere nu arbejder i følsomme ansættelsesforhold.",negative
"Hvis De forbinder dem, vil jeg naturligvis være klar til en kamp, men hvis De gør, vil det ikke være et tab for Ungarn, men først og fremmest et tab for hele EU-fællesskabet.",negative
"Jeg har aldrig hørt til de europæere eller franskmænd, som mener, at vi bør være på vagt over for vores britiske venner.",negative
"Dette forekommer så meget mere påfaldende, som Kommissionens tekst hyppigt gentager, at en effektiv indsats forudsætter en global strategi.",neutral
"Forklaringen vil gøre det muligt for Dem at forstå, at vi ikke er imod et eller andet bestemt ændringsforslag.",positive
"Som tysker vil jeg også gerne fremover kunne ærgre mig, hvis vi taber en fodboldkamp til Holland.",neutral
"Det betyder altså, at der her ikke en gang er frihed til at diskutere, om vi skal udvide budgettet.",negative
Der er en direkte sammenhæng mellem kvinders repræsentation i de beslutningstagende organer og i forhandlingsdelegationerne og ligestillingspolitikkens gennemførelse.,neutral
"Det er de samme, der afviser enhver form for europæisk konstruktion.",negative
"Hvad angår Europa-Parlamentet, har det ikke nogen retmæssig medbestemmelse i forbindelse med en sådan revision, eller også tjener Parlamentet som sædvanlig kun til at støtte de mest føderalistiske pressionsgrupper.",neutral
"For det første finder vi det meget fornuftigt at vurdere ordningens funktion, at arbejde på baggrund af mere end 10 års erfaring og at høre de berørte parter, hvilket alt sammen kan gøres, når forslaget til en forordning stilles.",positive
En gentagelse af denne fiasko og manglen på proportionalitet bør undgås.,negative
"Jeg undrer mig over, hvad der skete med den sociale proces.",neutral
"Hr. formand, afslutningen på den kolde krig og Den Europæiske Unions voksende styrke har uundgåeligt medført en omdefinering af forholdet mellem os og USA.",neutral
"Fru formand, vi har her til formiddag over for det luxembourgske formandskab og Kommissionen udtrykt vores glæde over, at Parlamentet har kunnet få lejlighed til at udtrykke sin mening om en så vigtig tekst inden mødet den 4.-5. december.",positive
"Redaktørerne glemte - travlt som de havde med at understrege behovet for prisstabilitet, som, vi alle er enige om, bør sikres på en måde, der naturligvis er logisk og ansvarlig - at det centrale formål med enhver centralbank er at pumpe penge ud i økonomien, og de glemte også at sætte beskæftigelsen tilstrækkeligt højt.",negative
"Hr. formand, vi er enige i hovedformålet med det forslag til beslutning, vi drøfter, nemlig nødvendigheden af, at de enkelte stater har en budgetdisciplin, der hele tiden er klar, og som er i tråd med stabilitetspagtens målsætninger.",positive
"Trods vores grundlæggende kritik appellerer vi til medlemmerne om at vedtage vores ændringsforslag om at oprette et pilotprojekt for aktioner på tekstil- og beklædningsområdet med henblik på et senere fællesskabsprogram for denne sektor, sådan som Europa-Parlamentet har foreslået, om at udforme planer for genoprettelse af fiskebestande på baggrund af de økonomiske og sociale følger af de lukkede perioder og om at fremme flersprogethed navnlig i de parlamentariske forsamlinger EU-AVS.",positive
Takket være den internationale lufttrafik kan mennesker fra Sydøstasien hurtigt eksportere sars over store afstande.,negative
"Når jeg læser Goldstone-rapporten, har jeg den uhyggelige fornemmelse, at jeg læser om et voldeligt overfald, hvor forfatteren dog har undladt at nævne, at begivenhederne fandt sted under en boksekamp.",negative
"Det er navnlig værd at nævne de uligheder, der fortsat findes i det virkelige liv, såsom problemer med adgang til job med rettigheder og anstændige lønninger, fattigdom, fortsat diskrimination og stereotyper, der bidrager til at videreføre uligheder, herunder adgang til uddannelse og faglig forfremmelse til ledende stillinger, og i det økonomiske og politiske liv.",negative
Den europæiske stat er her.,neutral
"Programmet beskriver i grove træk vores samarbejde med hensyn til frihed, sikkerhed og retfærdighed i de kommende fem år.",positive
"Jeg får også ordet senere, hvor jeg får mulighed for at reagere på andre bemærkninger til emnet.",positive
"Hvis hr. kommissær i dag ikke skulle garantere os, at han støtter vores ændringsforslag, findes der kun én løsning for vores Parlament: Forkastelse!",negative
"Det er særdeles vanskeligt at se en italiensk film i Nederlandene, med enkelte undtagelser.",negative
"Europa kan ikke bare lade stå til, mens automobilsektoren er i krise.",negative
"Fru Swoboda talte også om betydningen af at sørge for, at vi har en ægte politisk reform.",neutral
Derfor har jeg besluttet mig for at afholde mig fra at stemme og for ikke at stemme for min kollegas betænkning.,negative
"Derfor bifalder jeg på den ene side, at der er tilføjet en særlig budgetpost for grænseregioner.",positive
"Så snart hr. McCreevy og Kommissionen sender os det nye, reviderede forslag i slutningen af april, som i høj grad vil være baseret på Parlamentets arbejde, og offentliggør det, vil vi gøre alt for at gøre så store fremskridt i denne sag som muligt.",positive
"For det andet skal virksomhedernes sociale ansvar naturligvis være en faktor, der bidrager til at gøre dem mere konkurrencedygtige, men bag mærkningerne om virksomhedernes sociale ansvar skal der være konkrete virkeligheder og ikke kun ren propaganda.",neutral
"(HU) Hvad angår bananproducenternes levebrød i EU og i AVS-landene, så er Rådet klar over, at bananproduktionen er af grundlæggende social og økonomisk betydning for de bananproducerende regioner i EU.",neutral
På baggrund heraf og for at forebygge lignende situationer i fremtiden foreslår ordføreren en ny tilgang til beskyttelsen af befolkningen og landbrugerne for bedre at værne dem mod de ødelæggende følger.,positive
En human behandling indgår tillige i et demokratisk opbygget samfundssystem.,neutral
Udgifterne for almenheden er simpelthen for store.,negative
Den hidtidige reaktion har været noget svag.,negative
"EU har i løbet af de seneste måneder opfordret Iran til at genoptage dialogen med møder, både i forbindelse med den omfattende dialog og dialogen om menneskerettigheder.",neutral
"Som kommissæren sagde, skal Europa stå enstemmigt sammen i sin politik over for Kina.",neutral
Alle institutionerne og i særdeleshed Europa-Parlamentet har udtrykt ønske om at fortsætte denne kamp.,neutral
"Fru formand, også for Kenyas vedkommende er vi på ny nødsaget til at vedtage en beslutning - som vi sidst vedtog en i juli - og vi må vende tilbage til det, fordi de militære myndigheder i Nairobi fortsætter med at give næring til spændingen i landet.",neutral
"Det er en utroligt trist grænseovergang, der minder om noget fra en anden tid.",negative
Vi luskede uden om.,negative
"Det er den vigtigste forebyggelse, det vil sige, at vi har brug for forståelse for børnene.",neutral
"Jeg mener, at vi har gjort meget grundlæggende arbejde siden 1999 med henblik på at gøre Rusland endnu mere aktiv.",neutral
"Denne debat vil gøre det muligt at udarbejde finansielle overslag, som øger forskning og innovations relative andel af Den Europæiske Unions budgetter med henblik på at opfylde de forskellige behov, der er blevet givet udtryk for, og støtte 3 %-målsætningen.",positive
De skal også gøre det muligt at reducere medlemsstaternes bidrag og at forøge EU's ressourcer.,positive
Og kritikken af koordinationen?,neutral
"""Allah akbar"" var et slogan, som man ofte hørte under protesterne.",neutral
"Sikkerhedspolitikken er ikke på dagsordenen i Visby, men disse spørgsmål vil få en dominerende indflydelse på samarbejdet.",neutral
"Jeg mener, at vi nu har et grundlag, der kan arbejdes videre på også i fremtiden.",positive
"Naturligvis fik befolkningen i Thumba veludstyrede faciliteter, en kirke og et undervisningscenter et andet sted, som de var blevet lovet.",neutral
"Vi vil ikke begrænse konkurrencen, men vi vil have en ammunitionsbeholdning for fair konkurrence på globalt niveau.",neutral
Derfor vil jeg byde dem meget hjerteligt velkommen.,positive
"Det havde stor succes, og det har været en fornøjelse at arbejde sammen med formandskabet.",positive
"Fordelene ved de forslag vedrørende transportvirksomheder, der ligger foran os i aften, er både til at tage og føle på og positive.",positive
"Jeg mener, at vi må gøre alt for at bremse nedgangen i konjunkturerne.",negative
"Hvad angår indførelsen af en budgetpost til udgifter ved særlige omstændigheder, mener Junilistan, at dette papirpåhit styrker indtrykket af, at EU forsøger at blive en ny supermagt med indflydelse på alt, hvad der sker i verden.",negative
"Er formanden opmærksom på, at der er omkring 4.000 fartøjer af denne type under 5.000 t i verden, og at mindre end 200 af dem har dobbelt skrog?",neutral
"Jeg tror fuldt og fast på, at EU næste gang vil kunne håndtere denne form for udstødelse, og at man i den næste betænkning om social integration vil evaluere situationen i alle EU's medlemsstater.",neutral
Det vil også gøre betingelserne for markedsadgang lettere.,positive
"Dernæst fordi en korrekt information - og det skal trods alt nævnes - ikke nødvendigvis er en reklame, og at den sammenblanding, som nogle dygtigt holder fast i, er begrænsende og forkert.",negative
Vil De arbejde sammen med os om at sørge for beskyttelse til alle berørte parter?,positive
"Hertil kan man tilføje den kartelopdeling af markederne, som USA står for, uden at komme ind på andre importerede fænomener fra dette land såsom den galoperende kriminalitet, der er blevet femdoblet på 30 år.",negative
Nogle af vores kolleger forsøger at sabotere dette omhyggelige stykke arbejde ved at forlange tilfældige og uovervejede decibelreduktioner.,negative
"Til sidst, fru formand, vil jeg meddele Dem følgende: Europa er god til at omsætte euro til forskning, men svigter for det meste, når forskning skal omsættes til euro, og det bør ændres i fremtiden.",negative
"I de seneste måneder har vi set forhøjelser af gasprisen for Moldova, importforbud på vine og vand fra Moldova og Georgien, den reelle støtte til Transnistrien ved folkeafstemningen og den kraftige reaktion på Georgiens udvisning af russiske militærofficerer.",neutral
Også vi er glade for gode nyheder.,positive
"Der kan være delte meninger om reformprocessens tempo og indhold, og om hvorvidt den gennemføres hurtigt nok.",neutral
Det perverse forhold mellem den enkelte medlemsstats bidrag og dens styrke til at forsvare det er uacceptabelt.,negative
"Min beslutning med hensyn til den rækkefølge, vi stemmer i, er alene baseret på den kronologiske rækkefølge og præcedens herfor.",neutral
Vær venlig at gøre noget ved det.,negative
"Som det ganske rigtigt er blevet påpeget, er der brug for konkret handling, og naturligvis bør vi tage i betragtning, at der på europæisk plan er mulighed for at øge værdien af nationalstaternes politikker, eftersom dette område stadig, næsten udelukkende, hører under medlemsstaternes jurisdiktion.",positive
"Helt grundlæggende indeholder betænkningen slet skjulte forsøg på at indføre aspekter af den reaktionære europæiske forfatning, som borgerne i Europa har forkastet, f.eks. direkte EU-beskatning af europæiske borgere, styrkelse af europæiske partier, overnationale stemmesedler osv. Betænkningen er så proeuropæisk, at der helt uhørt stilles forslag om fastlæggelse af retten til at anmode om et ikke-eksisterende ""unionsborgerskab"" for personer, der har opholdt sig lovligt i EU ""i lang tid"", og som imidlertid ikke vil få sta",negative
"Hvis Irland havde valgt at beholde det irske pund, ville det uden tvivl på nuværende tidspunkt være forsvundet uden at efterlade sig spor.",neutral
For to år siden var jeg med til at stifte Drugs for Neglected Diseases Initiative.,neutral
"I øjeblikket støder de europæiske borgere uomtvisteligt på nogle vanskeligheder på forbrugsmarkedet, og den mest komplekse vanskelighed er af juridisk karakter.",negative
"Kære fru formand, hr. formand for Rådet, hr. formand for Kommissionen, kære kolleger, tidspunktet er kommet til at takke vores formand, Nicole Fontaine, som kommer fra vores gruppe, meget, meget hjerteligt for den lidenskab - det har hun netop selv sagt - hvormed hun har udøvet sit embede gennem to et halvt år.",positive
