text,type,label
Der er alt for meget at komme efter i den norske (og danske) undergrund!,1,neutral
"Uha, nu sætter du min Bundesliga-viden på prøve. Jeg har kun set dem, når de har spillet europæisk. Men jo, der er det i hvert fald mest Werner, der er den bevægelige af de to, mens Yussuf befinder sig mest centralt.",1,neutral
"Første krise hos lufthavns-korrespondenten her i Istanbuls nye lufthavn: Jeg eksisterer ikke. 
Lover at opdatere, hvordan dramaet ender inden længe.",1,neutral
"Hva bunner uviljen i mot å analysere islamistenes ideologi? Er det for store likheter med mainstream Islam? Påskens ofre. Skal gerningsmændene hurtigt fanges og straffes, må vi også udpege ideologien, der har drevet dem. D | Weekendavisen",1,negative
Eller fordi det er godt at se hvor dårligt livet var før i tiden. De gode gamle dage findes ikke,1,negative
"En perfekt men lidt kølig dag til en løbetur. Og de sagde i vejrudsigten, at der er chance for, at bøgen snart springer ud 😁 Pssst: Jeg har fødselsdag 17. juni, 😁 #dkpol",1,positive
DF vil forbyde skolegang hvis opholdstilladelsen ryger,1,negative
"Ret din kritik mod Niko Grünfeld og de andre. Det er dem, der taler om syg kultur i DINE personlige angreb er ikke værdige for den nye politiske kultur, som ønsker sig.",1,negative
"I påsken er jeg på sidelinien her…
Tors #fckfcm
Fre #obfcn
Søn ViborgFF vs Næstved
Søn #vbagf
Man #rfcaab
Man #fcmbif
#sldk #NordicBetLigaen",1,neutral
"På ingen måde. Det var for at nuancere, og give eksempler på at demokratiet er den eneste styreform som giver plads til forskellige holdninger - via lov.",1,positive
"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",1,negative
"Fremtidens klimapolitik? Det kunne jeg forstå, hvis vi var på rette spor. Måske tiden er bedre brugt på med nutidens klimapolitik? Du har et borgerforslag foran dig som indikerer folkestemningen. 4år på posten og vores udledninger stiger. Vi har ikke tid! #GrøntValg",1,negative
Ingen tvivl om at bevægelsen har været der et stykke tid hos Republikanerne - men er af noget nyere dato hos Demokraterne.,1,neutral
Tysk vækst og stærke afgrøder skal sikre DLG rekordår i 2019,1,positive
"Sammen med har jeg talt med en del af de ft-medlemmer, der stopper, om hvorfor de stopper og om dansk politik anno 2018. Der var nogle interessante refleksioner undervejs #dkpol",1,neutral
Jeg lukkede den faktisk ned inden et møde 😬,1,neutral
"Video: Hvad ved vi om ghettoer, integraton og ikke-vestlige personer? ifølge vores taler ser det bedre ud end man tror #dkpol #integration #indvandring",1,positive
"Er du nysgerrig på, hvordan du diskvalificerer dig selv fra at blive taget seriøst i den offentlige debat? Naser har svaret. #dkpol #dkmedier",1,negative
Farum Lilleskole flytter ind hos FC Nordsjælland,1,positive
"Det er så synd for Ajax, at det her hold nok bliver splittet fra hinanden",1,negative
"Hvorfor bruger du ikke dit eget navn, men dækker dig under PaigeZanco ?",1,neutral
Danske Bank: Blackrock ejer under 5 pct,1,neutral
Teknologisk Institut: Nye vejledninger skal rådgive om altaner #altaner #dkbyg,1,neutral
Fint forslag fra Hans Stavnsager. Det er vigtigt at diskutere alternativer til den måde som den finansielle sektor fungerer på.,1,positive
Kommer DR til at skrive længere end DF og Danske Medier vil have i 2019 - og andre svære spørgsmål!,1,negative
Vind VIP-billetter til Disney On Ice - og få en tur i Alladins slæde,1,neutral
Så godt sagt - Du har så meget fat i den rigtige point 🙋‍♂️ Tak Pernille 🙏,1,positive
"Så det er dét, der er kritikken?",1,neutral
RT @USER: En AaB-legende siger stop #sldk,1,neutral
"#vismænd i : ""Fordelingsmæssige hensyn bør ikke være en hindring for at føre en omkostningseffektiv klimapolitik, da uønskede fordelingseffekter kan imødegås f.eks. via ændringer i den grønne check."" #dkgreen #dkpol #dkøko 
[LINK]",1,neutral
Ha - det kommer der af at flytte dele af red. til Jylland. Hvem var det nu der var bannerfører her? Spørger bare.,1,negative
"Erhvervsminister @USER, der er på trapperne med et byrdeudspil, bør nedsætte en kommission, der skal sikre enklere regler. Det mener a-kassen Ase, der sender en række konkrete forslag til byrdelettelser til ministeren.
#dkpol #dkbiz
[LINK]",1,neutral
Guardiola: Medierne vil have Liverpool til at vinde mesterskabet #pldk,1,neutral
"Ja man skal sætte god tid af for at prøve alle mulighederne. Men hvis du vælger ikke at vælge noget, så vælger filmen automatisk for dig. Så behøver du ikke klikke på noget ;)",1,positive
Et stort tillykke til og vinderne af årets Cavlingpris 💪🏼,1,positive
Mindst 20 aflyste afgange: Letbaneproblemer fortsætter torsdag,1,neutral
"Nej, det må jeg indrømme. Jeg har kun kigget på redningsprocenter. Men meget interessante sager 👍🏼",1,positive
"menneske - og ved at som Paludan tit siger alle muslimer er amøber og underudviklet, så føler jeg lidt det arbejder hen imod det jeg som person har noget imod.",1,negative
"Jeg er 100% sikker på, at enhver fagforening/ethvert fagforbund sagtens - og uden problemer - kan varetage sine interesser. Men det ville være meget ubegavet at kaste penge efter LA, som kun tramper på 'almindelige', ualmindelige danskere.",1,negative
Det her er jo et eklatant eksempel på magtmisbrug for egen vindings skyld... bibringer i den grad de elementer der kvæler og undertrykker et ellers smukt og hårdt oparbejdet demokrati #dkpol #FinderISelvUd,1,negative
Så er der #klimakryds! Rigtig god valgkamp #dkgreen #dkpol #fv19,1,positive
"Jeg siger ikke, jeg havde ret! Jeg siger bare... jeg havde ret.",1,neutral
"Udfordringen med confounders er, at man aldrig kan vide, om man har fundet dem alle. Det er i sagens natur umuligt. Derfor kan man ikke med statistikken i hånden afvise andre forklaringer uden først at analysere dem på tilsvarende vis.",1,neutral
Vores mission er at få Mette til at vælge noget andet end DFs politik. Og nej vi kommer ikke til at pege på EL. Pengene passer ikke.,1,neutral
Nogle gange er du voldsomt trættende ...,1,negative
Nu gør du et dumt meme politisk... I’m just here for the lolz :D,1,neutral
26 personer ejer det samme som jordens fattigste halvdel,1,negative
Italiensk supermarked i hovedstaden reddet fra konkurs,1,positive
Hvem har glemt at fortælle Ajax at de bare kommer fra en “udviklings” liga og at det er ikke længere er midt 90’erne? Det er jo vanvittig.,1,negative
"Desværre, så kan de jo så nu bruge det som bevis på at kriminelle lømler sætter dagsordenen og blablabla. For dem er det en win win og det er samfundet der taber",1,negative
"Ham jeg skal køre med på torsdag til København har netop skrevet og spurgt, om det er OK, der er en hundehvalp med i bilen. 
*nedsmeltning* 
BEDSTE LIFT NOGENSINDE!! 😍",1,positive
"Hej Lasse 
Jeg ville gerne skrive en PM til dig, så er der mulighed for at du lige give et follow-back, så jeg kan skrive til dig? :=)",1,positive
Altså hvorfor var det lige Costa fik rødt kort? Produceren mener åbenbart ikke det er vigtigt at vise #BarcaAtleti,1,negative
"Italien, EM, Salvini: ""Vi udvider familien og vi ønsker at vinde"". Men det er en ægte løgn, fordi du ikke er klar over, at du har accepteret krænkelserne for at rejse til fattige mennesker Euro 1, 2 og 3. Du er forbrydelser, bortset fra respektfulde.",1,negative
Opsigtsvækkende melding - og her tænker jeg ikke så meget på karrysovsen😎,1,positive
"OPEN FOR BUSINESS!

Jeg er blevet selvstændig med min egen lille virksomhed, Aloud Media.

Biksen laver målrettet og effektiv kommunikation, og det meste inden for journalistik, podcast og PR. 

Tjek hjemmesiden og hiv endelig fat i mig for at høre mere.

[LINK]",1,positive
"Men hvis Løkke ikke kan forestille sig han kommer ind, så er spørgsmålet jo totalt ligemeget? 
Jeg nægter at tro på, at den syge syge mand får over 5000 stemmer. Det sker ikke.",1,negative
"P1 bør mute Claus Hjort Vader, når han taler ind over spørgsmål. 

Vader kom op i det røde felt, selvom var båndet og ikke kunne respondere. 

Viste med al tydelighed at Vader med sin militære overvågning af civile organisationer er på gyngende grund.",1,negative
For mig var det Google Ads på diverse mediers sider,1,neutral
"Hvordan kan man få sig selv til at gå ind i en kirke og omgivet af mænd, kvinder og børn springe sig selv i luften? 
Hva er det for en tro der siger at det er ok?
Der er en speciel plads i helvede til disse personer 🤬

😢

#SriLanka",1,negative
"Ny rapport fra Cisco forudsiger, at 5G-teknologi vil udgøre 23,2 pct. af al mobiltrafik i Vesteuropa i 2022. Det er en stigning fra 0 pct. i 2017. På globalt plan forventes 5G-forbindelser at udgøre 3 pct. af det samlede antal enheder og forbindelser...",1,neutral
"To af dem er fra før det seneste folketingsvalg i 2015, og det sidste er ikke ultimativt?",1,negative
"‘Jeg er nu nået til den konklusion, at det allerværste ved mig er, at jeg er en kvinde, man ikke kan lukke munden på.’ Læs og måb, når fortæller fra debattens stormende bølgetoppe, hvor det fremgår at kvinder - de skal bare holde deres kæft. #dkpol",1,negative
"Jeg kan ikke forstå at jeg skal betale gammel skat 760kr. hver måned,ikke min indkomst ,det er helt uforståeligt.",1,negative
"#dkmedier Der er en mindre eksplosion her, som kunne fortjene lidt opmærksomhed.",1,neutral
"Hvorfor må SOSU’erne, der har været i gang siden de var 20 år, dog ikke have lov til at trække sig lidt tidligere tilbage end alle akademikerne? Hvorfor skal de kunne fremvise et varigt tab af arbejdsevne? Er det retfærdigt, når akademikeren først er begyndt i job 5-6 år senere?",1,negative
Nå. Men hvad er dit svar?,1,negative
"Vi river den i stykker 
Og så tramper vi på den
Det her er vores hjem!
#almenmodstand #gellerup #toveshøj #ghettopakken",1,negative
Kronik: Holocaust: Vi har alle et ansvar for ikke at glemme,1,neutral
"Så er den store prøvedag kommet. 37 aspiranter prøver i disse dage kræfter med de fysiske og skriftlig optagelsesprøver til politiet. Prøverne finder sted på politiskolen i Fredericia. Se mere om opagelsesprøverne på 
#politidk",1,neutral
RP er heldig at han som den eneste har fået minimumsnormeringer - bare af politiet. #dkpol,1,negative
"Grundlovsfohør i Retten i Aarhus kl. 13.00, hvor vi fremstiller en 32-årig kvinde, der sigtes for kvalificeret brandstiftelse ved at have sat ild til nogle genstande i sin lejlighed på Aldersrovej i Aarhus N kl. 19.30 mandag aften. Muligvis dørlukning. #politidk #anklager",1,neutral
"Hej folkens ❤️💚💜💙
Så er jeg kommet på Twitter..
Lad os se hvad det bringer jer... Jeg vil komme ind på mange forskellige emner med tiden ✌️✌️.
Knus og kærlighed Nina Sjælens Univers.",1,positive
"Mere barsel bliver øremærket - vil ikke hænge sammen hos os, siger far",1,negative
"Omkring 60 vidner har siden oktober afgivet forklaring i retssag på Falster. TV ØST har løbende live-blogget, men forsvarsadvokat mener, det skal være forbudt, da det påvirker vidnerne. Højesteret skal nu vurdere sagen #dkmedier",1,neutral
"AGF og Jacob Nielsen er jo et perfekt match - Kaos på kaos! Allan K. Jepsen var igår skurken ifølge Jacob Nielsen, idag beklager de 🤭😂🤭😂 Sløjt sløjt sløjt! Den er svær at forsvare, selv for stædige GF’ere 🤦‍♂️ #sldk #spiongate #ultratwitteragf #aabinside",1,negative
"Hvis ikke det mindede ufatteligt meget om korruption, er det til at grine af. Samtidig betegner politikere eleverne på s protest som en “skandale”. Skandalen er DFs svineri for borgernes penge på latterlige prestigeprojekter som øer, grænsebomme og veje",1,negative
Valverde frygter Uniteds ånd #MUFC #PLDK #ægtefans,1,neutral
Regeringen har nu skåret 6.215.594.739 DKK på uddannelse siden 2015. Det svarer til 9 millioner kroner om dagen! Følg nedskæringerne live på #dkpol #uddpol #fv19 #Stop2pctNU,1,negative
"Interessant svar fra en ung mand, vi har haft med i en fokusgruppe om grænseoverskridende indhold (feks videoer fra terror): ""For det meste ser jeg sådan nogle videoer, fordi jeg bliver nødt til det - altså det her er virkeligheden.""

[LINK]",1,neutral
"Altså kernen: hende Amalie, som helt bevidst har benyttet sin populistiske magt til at lave shitstorm og gruppepres med henblik på at få en kunstner til at udøve selvcensur ?
Men eftertanke er altid godt. Bare det ikke giver bagtanker. Og trusler er uacceptabelt.",1,negative
"At de radikale er med , det siger det hele .
Så er man klar over, at det absolut ikke gavner de mest nedslidte.
Ikke engang en tilbagegang på 21 mandater , kan få jer til at levere et ordentligt stykke arbejde.
Men det får i snart 4 år at tænke over i !.",1,negative
"Paludan har da sin fulde ytringsfrihed. Han kan sige hvad han vil.

Men da politiet nu egang skal sikre ro og orden skal de selvfølgelig have mandat til at disponere over deres ressourcer.

Hvordan har du det forøvrigt med Paludans budskab?",1,neutral
Der røg den fredag aften :-) tak,1,positive
Jeg er dybt bekymret!! #dkpol #dkhandicap,1,negative
"Søndag den 26. maj er der valg til Europa-Parlamentet. Men hvis det passer dig bedst at stemme inden selve valgdagen, kan du stemme allerede nu. Læs mere her: 
[LINK]

#Dennegangstemmerjeg 
#EUvalg2019",1,neutral
"""Nu er det op til May-regeringen selv at vælge enten den ansvarlige kurs, som EU har skitseret – eller at fortsætte kursen mod Hard Brexit""

Professor Derek Beach: May insisterer på at føre Storbritannien mod afgrunden (abon): #dkpol #eudk",1,negative
"Har brug for hjælp! 
Kender jeg en der kommer forbi Odense Zoo her til morgen? 🌞

Jeg har brug et (eller flere) billeder af indgangen+bygningerne ved siden af, der hører til. 🦁

Det er blevet lavet lidt om - og...",1,neutral
"Ungdommens (og mange andres) ønske til et nyt folketing: bevar adgangen til natur, så alle børn og unge kan komme ud og få oplevelser, der styrker dem 
#friluftslivforalle #dkgreen #dkpol #fv19 Tak til for at give ungdommens ønske videre",1,positive
. Når debatten kører på nettet bliver den ofte generel Men islam som ideologi hører ikke hjemme i et demokrati og Koranen er en voldsmanual for analfabeter så alt det lort der har ødelagt de muslimske lande vil vi ikke have skal ødelægge vores,1,negative
"På uddannelsesinstitutionerne må man gå ud fra at der er fællesskabsregler for hvordan det forventes at omgås hinanden og ""gæster af huset"". Hvis ikke der er det, så burde der være det.",1,negative
"Tersløse Kirke er blevet Vejkirke Tersløse Kirke er blevet en såkaldt Vejkirke. Det indebærer, at kirken året rundt kan besøges af turister og alle interesserede på følgende dage: Tirsdag-onsdag-torsdag kl. 8-15.",1,neutral
"Det har du fuldstændigt ret i, og det er et stort problem for #dkmedier, at det ikke er lykkes at skabe en ordentlig booking-platform til dette segment.",1,positive
RT @USER: Tænk at det siger i dette interview ikke bare er indlysende for enhver:,1,positive
Massiv kø efter uheld på Køge Bugt-motorvejen,1,neutral
Hej Troels. Kunne I ikke spare mig for en masse research og lave en opdateret version af denne: :) #sldk,1,positive
"Du har en holdning mod 4 timers SoMe uanfægtet hvad tiden bruges på, som også påpeger. Den logiske slutning er den samme som at stemme for et vildsvinehegn, fordi man har en ""holdning"" til at det virker.",1,negative
"Klart - nu skal der glattes ud. Spin fra klubbens side. Se hele scenariet igen. Der var ingenting at misforstå i kommunikationen fra Kepa om, at han var klar igen.",1,negative
"Kære larsclilleholt 
 Vidste du at klimaforandringerne får verdenshavene til at stige, og det vil skabe dobbelt så mange oversvømmelser om blot få årtier, viser nyt studie. Specielt København kan stå for skud! 
Hvad vil du gøre ved det? #dkpol",1,negative
"Hvordan sætter vi strøm til et grønnere Danmark? Få svar fra og @USER, når vi inviterer til valgdebat sammen med d. 25. marts ➤ #dkpol #dkgreen #dkenergi",1,neutral
"Som etnisk dansk af udseende, mellem 30 og 40 år gammel og 170-180 centimeter høj vil jeg gerne tage afstand fra det her, selvom min slags ikke behøver den slags. Fy for fanden! Så er det jeres tur, #dkpol",1,negative
Det er svært at bevare proportionerne kan jeg konstatere. God weekend.,1,negative
"Jeg er faktisk også meget overrasket over United. Pisse ærgerligt de får det mål, men det virkede næsten som om, at det var det der skulle få United i gang 🤔 1-1 ville ikke være en katastrofe! KOM SÅ UNITED!!",1,positive
"Leo Vegas, hvor en 42-årig kvinde forleden tabte en halv mio. kr. på et døgn, er i dag klar med endnu en ulovlig annonce leveret af Det er utroligt, at danske politikere bliver ved med at tro, at bookmakerne regulerer sig selv #Utopia #dkpol",1,negative
"🎧 🇲🇦🇩🇰Ny podcast: Danmarks ambassadør i Marokko, Nikolaj Harris, fortæller om Marokkos aktive udenrigs- og sikkerhedspolitik og om landets altoverskyggende prioritet - nemlig kontrollen over det omstridte område, Vestsahara #dkpol #podcastdk #dkmedier 👉
[LINK]",1,neutral
Dansk Folkeparti er klar til at give togbroen dødsstødet #vaf,1,negative
"Really? - det bliver sgu sværere og sværere at overbevise min bedre halvdel om at at Danmark overhovedet ønsker at man skal integrere sig. Jeg fattes ord. Gad vide om vil støtte det?

#dkpol #pakker #snart #sydfrugter",1,negative
Jeg føler at 2019 starter overordentligt godt :),1,positive
Vigtig melding fra S. Og med DFs udtalelser i sidste uge burde der nu være flertal for at afskaffe besparelserne ved næste finanslov #Stop2pctNU,1,neutral
"Tror du, jeg er åndsvag? Den der borgerliggørelse af det yderste højre, er alt for gennemskuelig og enormt trættende. Jeg hopper fra her, og fokuserer på kærligheden. Du skulle prøve dét.",1,negative
Med disse gratis apps kan du klare alt fra kontorarbejde til billedredigering og musikproduktion direkte fra din browser.,1,positive
Fenerbahce fortsatte sejrsløs stime i Alanya,1,neutral
"Det er helt ude i hampen, DF og regeringen har tilsyneladende ingen jordforbindelse mere. Udrejsecenteret, kan DF og regeringen kun holde sig selv ud tilsyneladende, da man vil oprette en lejer på en ø, som man så vil sørge for at der er så få afgange til som muligt det er sygt",1,negative
"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",1,negative
"Det er da et fantastisk initiativ.. Børnene får en bevidsthed om natur/miljø.. Vi får ryddet op.. Og mon ikke vores skoler bruger nogle undervisningstimer i denne uge, der relaterer til Natur/Miljø..?? Win-Win..👍👍 #dkpol..",1,positive
"Skal betonelementerne i Parken da ligeledes skiftes? Hvis ikke, er det da godt nok småligt. I så fald kender vi dem igen!",1,negative
"Hold da op hvor arrogant og nedladende, dæleme lavt 😲😬🙄",1,negative
"Regeringens udkast til Havstrategi II efterlader det indtryk, at havet blot skal være til menneskets udnyttelse. Det skriver DF’s #dkpol #dkgreen",1,negative
"Gik tur med kæresten, da han ramte en skulder: Pludselig blev han banket ned og overfaldet #lokalavisen #nyheder",1,negative
"Det seneste døgns tid har vist, hvad jeg har snakket om i mange år.

Der er alenstor forskel på at TALE sig selv tolerant og så at UDVISE tolerance. At udvise tolerance står først sin prøve den dag man møder noget man for...",1,neutral
Kommer Riskær i Folketinget?,1,neutral
"Venstre lægger sten i vejen for borgerforslaget om ny klimalov. De siger de er grønne, men obstruerer processen, når der skal handles #dkgreen #dkpol",1,negative
"Forud for energiaftalen slog vi bare fast, at vi skulle bygge MINDST én havpark hurtigst muligt. Men de ekstra udbud vi lavede af landvind, stemte I ikke for - men I havde jo også kun afsat NUL kroner til klima og energi i jeres finanslovsudspil #dkgreen #dkpol",1,negative
"Synes ikke jeg er særlig farvet her. Har intet problem med at skære Brøndby over heller, som jeg har gjort mange gange på en objektiv måde herinde, hvis du læser igennem. Men vi kan jo have forskellige (tydeligvis) holdninger, og det skal der også være plads til :-)",1,neutral
Vild slutspurt: Boligejerne har sparet millioner på stor konverteringsbølge,1,positive
Mine forældre har dæleme aldrig gået med mig til sport. Cyklede og bussede den da selv?,1,negative
"Mon ikke vi alle har vores små diagnoser, jeg tror mest af alt hans diagnoser er af de lette slags og at han mest af alt er ondskabsfuld.",1,negative
"Jøsses hvor er det nemt at løbe med på politisk korrekthed her.. Folk skal slappe af. Medmindre alle blot råber “dumme modstander”, men her rammer vi også de dumme, og det er ikke fair. Hvor gør grænsen? “Spadser nar”, “Fede nar”, “Rødhåret amøbe” Osv osv. Folk skal slappe af..",1,negative
"Vi kører rundt til hverdag med en milliard plakater over det hele. Annoncer, reklamer etc. Pludselig skulle valgplakater udgøre en særlig stor risiko. Det giver absolut ingen mening.",1,neutral
"Legekæden: Hvis ikke folk bruger os, så kan det være os, der må lukke næste gang (Dette er en plus-artikel)",1,negative
Ville du ikke grine en uge hvis det var os?,1,neutral
Mit bud er at vi først får noget ordentligt og brugbart at stemme på - uanset om vi er blå eller røde - når DF mister deres indflydelse på den politik der bliver ført i #dkpol.,1,negative
"Khader: Det er 's skyld, at nu lukker.
#dkpol
[LINK]",1,negative
"Ros til for at bruge ordet 'terrorangreb' om begivenhederne i New Zealand, alle jer andre nosse-løse medier. Skam jer. #dkpol",1,negative
"Det er pinligt, det er skamfuldt det er ikke superligaen værdigt! #sldk #bandegate #bandekonflikt #fckfcm",1,negative
"Intet ondt herfra 😊 Det er muligt, at du har ret. Jeg har bare ikke kunnet finde den definition, men jeg har heller ikke brugt old school ordbøger. Jeg formoder ikke, at mange dyr ud over mennesket parrer sig med andet formål end reproduktion. Jeg har heller ikke hørt ...",1,positive
"Det vil sige, at ud af de 17 største pensionsselskaber har PFA, PKA, MP Pension, Pensam, TopDanmark og ATP ingen penge i de store canadiske tjæresandsselskaber #dkgreen",1,neutral
"Ja, alle er jo enige om, at forholdene for dyrene bare ikke er i orden - overhovedet. 
Så lad os dog handle efter det og ikke smide penge efter det når vi er ude at handle &lt;3",1,negative
"Det er komisk, hvordan voksne mennesker bliver ved med at snakke om at paludan koster samfundet penge. Det er sgu de satans udlændinge der ikke ønsker at følge dansk lov. Om de bliver provokeret eller ej er jeg ligeglad med. Det bliver jeg også, jeg smadrer dog ikke en bydel",1,negative
"Skuffende, at du ikke hoppede med på diller-vinklen.",1,negative
En af dem har ud af det blå fået 800 ligegyldige kommentarer på sit seneste opslag. Nye (købte) følgere til at betale flasker med? 😂,1,negative
"UDSOLGT TIL DERBY🔥 En dejlig nyhed, som vi er glade og stolte over at kunne præsentere. Men vi ved erfaringsmæssigt, at der kan komme et antal billetter retur, så skriv dig på DERBY-ventelisten, hvis du vil have muligheden #fcklive #fckbif",1,positive
"HamletScenen præsenterer “Richard III” til sommer. Magtsyge, mord, sex og manipulationer fra verdens første seriemorder, lover instruktøren",1,positive
"kan i ikke droppe den forespørgsel efter lokation når man går ind på jeres side? Det crasher min Firefox på android.
Lav i stedet en knap, for dem der ikke ved hvor de er.",1,negative
"#dkpol #Rasmuspaludan Hvilket hykleri - Paludan har ikke lavet selv den mindste bule i en bil. Hvad med at adressere de fanatikere og voldsmænd, der laver uro og hærværk ? Virkelig en sær udtalelse C Oxfeldt er kommet med.",1,negative
Stort potentiale for #dkbiz i at etablere level playing field i hele Norden når vi implementerer EU-regulering ⁦@USER⁩ til svensk erhvervsminister ⁦⁦⁦⁦@USER⁩ ⁦⁦@USER⁩ ser muligheder i styrket samarbejde,1,positive
"Da vi fik ham tilbudt sidste år til 7mil (mener jeg det var) det er jo ingenting for en målmand med hans kvaliteter.. det koster at blive mestre..! Min holdning er bare, klasse keeper..!",1,positive
"#danmarkspanelet handler i dag om minimumsnormeringer. Panelet udfordrer og @USER. Også om udflytning, ultimative krav og propapanda fra Kina. Se med kl 11, 13 og 21 på #dkpol",1,neutral
"Det kan jo slet ikke forslå. Men den regnemetode som Finansministeriet benytter skal du forvente at der skal forhøjes med yderligere kr. 225.000 oven i det som den enkelte skal have.
Det bliver megadyret og er vel grunden til at V ikke har fremlagt noget. #dkpol",1,negative
Tydelig at fakta ikke betyr noe for ham og tilhengerne. Det er jo bare trist og en smule skremmende.,1,negative
"Jeg synes, det er vigtigt her i 2019 at markere den slags kulturel appropriation. Hårdt.",1,negative
Skjulte fordele: Fire skills du kan 'level up' med computerspil,1,positive
Jeg mener snildt i kan dække seriøse begivenheder som fx herrefodbold. Det handler jo bare om at i klæder jer anstændigt og de rigtige værter så fx gør som Neville og Carragher. Hagen op. I kan godt. 🤗😘,1,negative
"Præcis, islam skal ud af Europa, da det er en totalitær ideologi. Stram Kurs er derimod ikke et totalitært parti, men må derimod søge indflydelse gennem demokratiet som alle andre danske partier.",1,negative
RT @USER: Fedt at så mange unge mener at der skal gøres mere for klimaet #dkpol #eupol,1,positive
RT @USER: 72.000 flypassagerer påvirkes af SAS-strejke. 673 afgange aflyses.,1,neutral
"Jeg er ikke særlig pessimistisk, fordi jeg tror vi taber. Det er mest fordi jeg tror at Damen ikke spiller. Hvis hele holdet er klar, så er jeg rimelig sikker på, at vi munker dem.
Men det sidder også bare i baghovedet, at vi kan blive de store tabere, hvis vi smider point. (1/2)",1,neutral
Oceaniske og australske mesterskaber i strandhåndbold er i gang -,1,neutral
